"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.01.2023","179,2400","177,6450","179,2650","177,6450","","1,41%"
"25.12.2022","176,7400","175,3050","177,1400","175,2900","","1,10%"
"18.12.2022","174,8200","172,3300","174,8850","172,3300","","1,23%"
"11.12.2022","172,6900","169,8100","172,7700","169,8100","","1,67%"
"04.12.2022","169,8500","168,0100","169,9050","167,9700","","1,05%"
"27.11.2022","168,0800","166,1200","168,1550","166,0950","","1,51%"
"20.11.2022","165,5800","163,0950","165,6150","163,0900","","1,48%"
"13.11.2022","163,1700","161,7600","163,1750","161,6500","","1,54%"
"06.11.2022","160,7000","158,2300","160,7550","158,2300","","1,52%"
"30.10.2022","158,2900","155,9350","158,3150","155,9350","","1,47%"
"23.10.2022","156,0000","154,7550","156,0450","154,6500","","1,44%"
"16.10.2022","153,7900","151,6100","153,8600","151,6050","","1,40%"
"09.10.2022","151,6700","149,1900","151,6850","149,1100","","1,67%"
"02.10.2022","149,1800","147,2500","149,2250","147,2500","","1,27%"
"25.09.2022","147,3100","145,8700","147,3350","144,8150","","1,29%"
"18.09.2022","145,4400","144,4100","145,4700","144,2750","","1,34%"
"11.09.2022","143,5100","141,8850","143,5200","141,8200","","1,51%"
"04.09.2022","141,3700","139,1600","141,5250","139,1600","","1,60%"
"28.08.2022","139,1500","137,3300","139,2350","137,3300","","1,05%"
"21.08.2022","137,7000","136,0950","137,7100","136,0900","","1,14%"
"14.08.2022","136,1500","134,5300","136,1600","134,4700","","1,17%"
"07.08.2022","134,5800","133,2250","134,5900","132,8550","","1,36%"
"31.07.2022","132,7800","131,2000","132,9550","131,2000","","1,16%"
"24.07.2022","131,2600","129,5350","131,2950","129,5350","","1,18%"
"17.07.2022","129,7300","128,5650","129,8000","128,5500","","1,18%"
"10.07.2022","128,2200","126,7400","128,2450","126,7400","","1,23%"
"03.07.2022","126,6600","126,0550","126,8300","125,9000","","0,96%"
"26.06.2022","125,4500","123,8650","125,4650","123,8650","","0,97%"
"19.06.2022","124,2400","122,8550","124,2800","122,8550","","1,13%"
"12.06.2022","122,8500","122,2850","122,9500","121,5750","","0,87%"
"05.06.2022","121,7900","120,6250","121,7950","120,6250","","0,94%"
"29.05.2022","120,6600","119,7900","120,6800","119,7800","","0,93%"
"22.05.2022","119,5500","118,2950","119,5650","118,2950","","0,90%"
"15.05.2022","118,4800","117,3700","118,5050","117,3700","","0,90%"
"08.05.2022","117,4200","116,3050","117,4400","116,3050","","1,07%"
"01.05.2022","116,1800","115,2650","116,3250","115,2650","","0,75%"
"24.04.2022","115,3100","114,1850","115,3350","114,1850","","1,04%"
"17.04.2022","114,1200","113,3350","114,2500","113,2950","","1,09%"
"10.04.2022","112,8900","112,1050","112,9650","112,1050","","0,66%"
"03.04.2022","112,1500","111,0750","112,1650","111,0750","","0,93%"
"27.03.2022","111,1200","110,1250","111,1400","110,1250","","0,67%"
"20.03.2022","110,3800","109,8800","110,7650","109,8150","","0,65%"
"13.03.2022","109,6700","108,8450","109,6850","108,8450","","0,83%"
"06.03.2022","108,7700","108,4700","109,2200","108,4050","","0,69%"
"27.02.2022","108,0200","107,3350","108,1750","107,3300","","0,54%"
"20.02.2022","107,4400","106,9400","107,4650","106,9400","","0,62%"
"13.02.2022","106,7800","106,0650","106,7900","106,0650","","0,60%"
"06.02.2022","106,1400","105,7500","106,1550","105,6250","","0,80%"
"30.01.2022","105,3000","104,9350","105,4450","104,7900","","0,45%"
"23.01.2022","104,8300","104,3000","104,8800","104,3000","","0,47%"
"16.01.2022","104,3400","104,0550","104,3800","104,0250","","0,48%"
"09.01.2022","103,8400","103,2450","103,9350","103,2450","","0,54%"
"02.01.2022","103,2800","103,0500","103,3050","102,6900","","0,58%"
"26.12.2021","102,6800","102,2600","102,7650","102,2600","","0,42%"
"19.12.2021","102,2500","101,9200","102,3700","101,9200","","0,38%"
"12.12.2021","101,8600","101,5000","101,9750","101,5000","","0,36%"
"05.12.2021","101,4900","101,1200","101,6300","101,1200","","0,44%"
"28.11.2021","101,0500","100,6450","101,1950","100,6450","","0,30%"
"21.11.2021","100,7500","100,4150","100,8050","100,3800","","0,30%"
"14.11.2021","100,4500","100,2800","100,4900","100,2200","","0,34%"
"07.11.2021","100,1100","99,9045","100,2800","99,9045","","0,27%"
"31.10.2021","99,8430","99,6410","99,9750","99,6410","","0,22%"
"24.10.2021","99,6200","99,3670","99,7450","99,3670","","0,33%"
"17.10.2021","99,2940","99,1495","99,4150","99,1275","","0,21%"
"10.10.2021","99,0850","98,8585","99,2050","98,8585","","0,24%"
"03.10.2021","98,8500","98,7160","98,9560","98,7160","","0,26%"
"26.09.2021","98,5920","98,4790","98,8100","98,4735","","0,02%"
"19.09.2021","98,5700","98,2865","98,5850","98,2720","","0,42%"
"12.09.2021","98,1540","98,0205","98,3850","98,0125","","0,26%"
"05.09.2021","97,9040","97,9400","98,1250","97,8525","","0,04%"
"29.08.2021","97,8600","97,4970","97,8850","97,4970","","0,51%"
"22.08.2021","97,3640","97,4300","97,5900","97,2660","","0,15%"
"15.08.2021","97,2200","96,9900","97,3300","96,9530","","0,12%"
"08.08.2021","97,1000","96,8015","97,2150","96,8000","","0,21%"
"01.08.2021","96,9000","96,5750","96,9500","96,5700","","0,23%"
"25.07.2021","96,6800","96,4750","96,7200","96,3510","","0,48%"
"18.07.2021","96,2180","96,3100","96,4570","96,2535","","0,01%"
"11.07.2021","96,2100","95,9040","96,2150","95,8345","","0,28%"
"04.07.2021","95,9400","95,7110","96,0106","95,7110","","0,16%"
"27.06.2021","95,7900","95,5190","95,8150","95,4695","","0,40%"
"20.06.2021","95,4090","95,3750","95,6145","95,2400","","0,03%"
"13.06.2021","95,3800","95,0645","95,3850","95,0480","","0,26%"
"06.06.2021","95,1300","94,7785","95,1595","94,7785","","0,38%"
"30.05.2021","94,7700","94,4600","94,8800","94,4600","","0,22%"
"23.05.2021","94,5600","94,2010","94,5700","94,1465","","0,51%"
"16.05.2021","94,0830","93,9685","94,2950","93,9685","","0,25%"
"09.05.2021","93,8520","93,7185","94,0680","93,2750","","0,02%"
"02.05.2021","93,8300","93,4805","93,8540","93,2700","","0,50%"
"25.04.2021","93,3630","93,0415","93,6250","93,0320","","0,26%"
"18.04.2021","93,1200","92,7140","93,1350","92,7115","","0,36%"
"11.04.2021","92,7900","92,3545","92,8000","92,3035","","0,59%"
"04.04.2021","92,2470","91,6045","92,4500","91,6045","","0,83%"
"28.03.2021","91,4880","91,7190","92,0850","91,4250","","-0,38%"
"21.03.2021","91,8400","91,2905","91,8600","91,2635","","0,74%"
"14.03.2021","91,1670","90,7775","91,3730","90,7775","","0,43%"
"07.03.2021","90,7800","90,2835","90,8800","90,1500","","0,67%"
"28.02.2021","90,1790","89,7425","90,3750","89,7335","","0,40%"
"21.02.2021","89,8200","89,0705","89,8340","89,0215","","0,85%"
"14.02.2021","89,0600","88,4530","89,1640","88,4050","","0,69%"
"07.02.2021","88,4500","87,9260","88,5500","87,8790","","0,71%"
"31.01.2021","87,8240","87,4505","88,0140","87,2641","","0,60%"
"24.01.2021","87,3000","86,8900","87,3300","86,4955","","1,06%"
"17.01.2021","86,3870","86,0700","86,5820","85,3800","","0,77%"
"10.01.2021","85,7300","84,9295","86,1085","84,8855","","0,72%"
"03.01.2021","85,1200","84,0875","85,1250","84,0705","","1,24%"
"27.12.2020","84,0800","83,9000","84,1710","83,7865","","0,97%"
"20.12.2020","83,2700","82,7715","83,3685","82,7715","","0,73%"
"13.12.2020","82,6640","82,1445","82,8510","82,0975","","0,64%"
"06.12.2020","82,1400","81,5705","82,2310","81,4820","","0,59%"
"29.11.2020","81,6600","81,0040","81,6650","81,0040","","0,74%"
"22.11.2020","81,0600","80,2885","81,4550","80,2455","","0,88%"
"15.11.2020","80,3500","79,6035","80,3680","79,6035","","0,76%"
"08.11.2020","79,7400","79,0345","79,7600","79,0265","","0,90%"
"01.11.2020","79,0300","78,2140","79,1185","78,1935","","0,91%"
"25.10.2020","78,3200","78,0600","78,3570","78,0545","","0,26%"
"18.10.2020","78,1200","77,4620","78,1400","77,4620","","0,97%"
"11.10.2020","77,3680","77,0005","77,5600","76,9980","","0,30%"
"04.10.2020","77,1400","76,8860","77,1555","76,8695","","0,46%"
"27.09.2020","76,7890","75,7835","76,9600","75,7760","","1,46%"
"20.09.2020","75,6870","75,5850","75,8600","75,3070","","0,62%"
"13.09.2020","75,2190","75,0100","75,3900","74,9750","","0,52%"
"06.09.2020","74,8300","74,6450","74,9135","74,3685","","0,55%"
"30.08.2020","74,4200","73,9350","74,4425","73,9275","","0,78%"
"23.08.2020","73,8420","73,5020","74,0100","73,5020","","0,37%"
"16.08.2020","73,5700","73,0405","73,6025","73,0275","","0,57%"
"09.08.2020","73,1500","72,6375","73,1550","72,6175","","0,54%"
"02.08.2020","72,7600","72,2495","72,7700","72,1900","","0,62%"
"26.07.2020","72,3100","71,9850","72,3230","71,9500","","0,67%"
"19.07.2020","71,8300","71,4245","71,9090","71,4245","","0,50%"
"12.07.2020","71,4700","70,8750","71,4800","70,8750","","0,86%"
"05.07.2020","70,8600","70,3915","70,9770","70,3915","","0,33%"
"28.06.2020","70,6300","70,1525","70,6500","70,1250","","0,80%"
"21.06.2020","70,0700","69,7460","70,2225","69,7320","","0,47%"
"14.06.2020","69,7400","69,2525","69,8160","69,2505","","0,53%"
"07.06.2020","69,3700","68,9215","69,3900","68,9125","","0,77%"
"31.05.2020","68,8390","68,4785","69,0110","68,4345","","0,66%"
"24.05.2020","68,3890","68,1095","68,5470","67,9475","","0,32%"
"17.05.2020","68,1700","67,7700","68,1900","67,6715","","0,87%"
"10.05.2020","67,5850","67,0350","67,7400","67,0350","","0,47%"
"03.05.2020","67,2700","66,7720","67,3030","66,7720","","0,99%"
"26.04.2020","66,6100","66,2550","66,8570","66,0300","","0,49%"
"19.04.2020","66,2870","65,7985","66,4400","65,7985","","0,75%"
"12.04.2020","65,7950","64,4480","65,8798","64,3625","","1,96%"
"05.04.2020","64,5300","64,8195","65,1765","64,5400","","-0,58%"
"29.03.2020","64,9050","64,4095","64,9303","64,1600","","1,07%"
"22.03.2020","64,2150","63,6855","64,5338","63,5950","","0,71%"
