,ds,y
0,2019-01-06,957.0
1,2019-01-13,1724.0
2,2019-01-20,867.5
3,2019-01-27,1047.0
4,2019-02-03,509.0
5,2019-02-10,1017.5
6,2019-02-17,917.4
7,2019-02-24,564.7
8,2019-03-03,2138.5
9,2019-03-10,386.5
10,2019-03-17,1598.5
11,2019-03-24,1620.9
12,2019-03-31,2428.8
13,2019-04-07,956.14
14,2019-04-14,2125.05
15,2019-04-21,464.2
16,2019-04-28,3030.95
17,2019-05-05,1991.1
18,2019-05-12,2217.5
19,2019-05-19,2120.7
20,2019-05-26,4087.0
21,2019-06-02,2617.2
22,2019-06-09,1489.55
23,2019-06-16,1787.1
24,2019-06-23,2041.6
25,2019-06-30,4930.1
26,2019-07-07,2028.7
27,2019-07-14,1577.1
28,2019-07-21,2171.5
29,2019-07-28,6297.5
30,2019-08-04,5282.5
31,2019-08-11,1776.2
32,2019-08-18,8606.98
33,2019-08-25,1738.2
34,2019-09-01,3168.2999999999997
35,2019-09-08,3486.3
36,2019-09-15,4839.7
37,2019-09-22,5838.3
38,2019-09-29,4191.0
39,2019-10-06,1067.1000000000001
40,2019-10-13,5334.5
41,2019-10-20,3508.8
42,2019-10-27,3450.7
43,2019-11-03,7973.7
44,2019-11-10,2531.5
45,2019-11-17,3224.7
46,2019-11-24,3003.6000000000004
47,2019-12-01,1717.12
48,2019-12-08,1459.6
49,2019-12-15,7839.6
50,2019-12-22,4393.0
51,2019-12-29,448.0
52,2020-01-05,3539.4
53,2020-01-12,1362.2
54,2020-01-19,3626.5
55,2020-01-26,2691.5099999999998
56,2020-02-02,7527.1
57,2020-02-09,2832.0
58,2020-02-16,4438.9
59,2020-02-23,4459.5
60,2020-03-01,972.5
61,2020-03-08,1986.4
62,2020-03-15,1732.1
63,2020-03-22,3121.5
64,2020-03-29,137.0
65,2020-04-05,281.0
66,2020-04-12,87.0
67,2020-04-19,2602.5
68,2020-04-26,775.0
69,2020-05-03,3881.8
70,2020-05-10,146.4
71,2020-05-17,301.2
72,2020-05-24,912.5
73,2020-05-31,2198.2
74,2020-06-07,1254.5
75,2020-06-14,970.6
76,2020-06-21,992.9
77,2020-06-28,3475.4
78,2020-07-05,1137.2
79,2020-07-12,875.0
80,2020-07-19,1240.2
81,2020-07-26,1483.3
82,2020-08-02,1100.6
83,2020-08-09,2098.9
84,2020-08-16,897.48
85,2020-08-23,531.8
86,2020-08-30,1290.0
87,2020-09-06,727.1
88,2020-09-13,1250.7
89,2020-09-20,2415.9
90,2020-09-27,4284.1
91,2020-10-04,2712.7
92,2020-10-11,1699.0
93,2020-10-18,2588.5
94,2020-10-25,1448.9
95,2020-11-01,730.1
96,2020-11-08,4295.5
97,2020-11-15,1180.3
98,2020-11-22,1301.8
99,2020-11-29,2125.9
100,2020-12-06,4224.7
101,2020-12-13,971.1
102,2020-12-20,2669.8
103,2020-12-27,2341.4
104,2021-01-03,4566.0
105,2021-01-10,1104.0
106,2021-01-17,1637.5
107,2021-01-24,514.8
108,2021-01-31,4553.1
109,2021-02-07,282.5
110,2021-02-14,496.3
111,2021-02-21,869.5
112,2021-02-28,2047.1
113,2021-03-07,3098.0
114,2021-03-14,2201.4
115,2021-03-21,2323.5
116,2021-03-28,1200.0
117,2021-04-04,2277.0
118,2021-04-11,2545.5
119,2021-04-18,4860.0
120,2021-04-25,3913.0
121,2021-05-02,3722.9
122,2021-05-09,1340.0
123,2021-05-16,2590.0
124,2021-05-23,1898.5
125,2021-05-30,1818.6
126,2021-06-06,3980.0
127,2021-06-13,2626.6
128,2021-06-20,1767.5
129,2021-06-27,1864.0
130,2021-07-04,1569.0
131,2021-07-11,2988.0
132,2021-07-18,2333.0
133,2021-07-25,2829.0
134,2021-08-01,2016.5
135,2021-08-08,2443.0
136,2021-08-15,623.6
137,2021-08-22,3475.8
