,ds,y
0,2019-01-13,4.0
1,2019-01-20,0.0
2,2019-01-27,0.0
3,2019-02-03,504.0
4,2019-02-10,1883.2
5,2019-02-17,0.0
6,2019-02-24,23.0
7,2019-03-03,563.5
8,2019-03-10,0.0
9,2019-03-17,0.0
10,2019-03-24,417.95
11,2019-03-31,1226.0
12,2019-04-07,1980.0
13,2019-04-14,0.0
14,2019-04-21,0.0
15,2019-04-28,871.95
16,2019-05-05,60.0
17,2019-05-12,0.0
18,2019-05-19,0.0
19,2019-05-26,1994.0
20,2019-06-02,997.0
21,2019-06-09,192.2
22,2019-06-16,0.0
23,2019-06-23,0.0
24,2019-06-30,5.5
25,2019-07-07,740.0
26,2019-07-14,0.0
27,2019-07-21,33.5
28,2019-07-28,580.0
29,2019-08-04,314.9
30,2019-08-11,0.0
31,2019-08-18,0.0
32,2019-08-25,16.65
33,2019-09-01,1982.75
34,2019-09-08,425.0
35,2019-09-15,0.0
36,2019-09-22,47.25
37,2019-09-29,0.0
38,2019-10-06,3143.0
39,2019-10-13,0.0
40,2019-10-20,50.0
41,2019-10-27,557.0
42,2019-11-03,726.0
43,2019-11-10,29.0
44,2019-11-17,0.0
45,2019-11-24,254.0
46,2019-12-01,749.8
47,2019-12-08,0.0
48,2019-12-15,0.0
49,2019-12-22,691.55
50,2019-12-29,1596.0
51,2020-01-05,0.0
52,2020-01-12,2466.0
53,2020-01-19,4.35
54,2020-01-26,1337.1499999999999
55,2020-02-02,50.0
56,2020-02-09,149.16
57,2020-02-16,0.0
58,2020-02-23,521.9
59,2020-03-01,0.0
60,2020-03-08,6056.84
61,2020-03-15,0.0
62,2020-03-22,0.0
63,2020-03-29,0.0
64,2020-04-05,0.0
65,2020-04-12,0.0
66,2020-04-19,988.5
67,2020-04-26,0.0
68,2020-05-03,258.0
69,2020-05-10,0.0
70,2020-05-17,4.5
71,2020-05-24,256.0
72,2020-05-31,30.0
73,2020-06-07,0.0
74,2020-06-14,141.0
75,2020-06-21,368.5
76,2020-06-28,2.9
77,2020-07-05,72.0
78,2020-07-12,0.0
79,2020-07-19,4.21
80,2020-07-26,0.0
81,2020-08-02,613.85
82,2020-08-09,0.0
83,2020-08-16,0.0
84,2020-08-23,258.5
85,2020-08-30,447.5
86,2020-09-06,0.0
87,2020-09-13,21.1
88,2020-09-20,0.0
89,2020-09-27,5.17
90,2020-10-04,0.0
91,2020-10-11,2.4
92,2020-10-18,0.0
93,2020-10-25,449.45
94,2020-11-01,0.0
95,2020-11-08,0.0
96,2020-11-15,3.7
97,2020-11-22,0.0
98,2020-11-29,0.0
99,2020-12-06,5.4
100,2020-12-13,377.0
101,2020-12-20,0.0
102,2020-12-27,601.0
103,2021-01-03,637.5
104,2021-01-10,36.15
105,2021-01-17,0.0
106,2021-01-24,0.0
107,2021-01-31,663.1
108,2021-02-07,7.2
109,2021-02-14,3.0
110,2021-02-21,0.0
111,2021-02-28,707.0
112,2021-03-07,0.0
113,2021-03-14,719.0
114,2021-03-21,4845.59
115,2021-03-28,0.0
116,2021-04-04,135.5
117,2021-04-11,0.0
118,2021-04-18,0.0
119,2021-04-25,0.0
120,2021-05-02,2890.5
121,2021-05-09,1000.0
122,2021-05-16,898.8
123,2021-05-23,256.0
124,2021-05-30,0.0
125,2021-06-06,0.0
126,2021-06-13,679.88
127,2021-06-20,0.0
128,2021-06-27,25.2
129,2021-07-04,655.0
130,2021-07-11,0.0
131,2021-07-18,1037.6
132,2021-07-25,60.0
133,2021-08-01,13.2
134,2021-08-08,0.0
135,2021-08-15,265.25
136,2021-08-22,872.0
137,2021-08-29,252.0
138,2021-09-05,818.0
139,2021-09-12,69.3
140,2021-09-19,1833.0
141,2021-09-26,0.0
142,2021-10-03,17.5
143,2021-10-10,5.95
144,2021-10-17,29.4
145,2021-10-24,29.4
146,2021-10-31,1895.7
147,2021-11-07,83.4
148,2021-11-14,172.0
149,2021-11-21,0.0
150,2021-11-28,296.0
151,2021-12-05,200.0
152,2021-12-12,356.4
153,2021-12-19,785.0
154,2021-12-26,0.0
155,2022-01-02,250.5
156,2022-01-09,774.5
157,2022-01-16,2128.5
158,2022-01-23,0.0
159,2022-01-30,1043.0
160,2022-02-06,0.0
161,2022-02-13,456.5
162,2022-02-20,225.0
163,2022-02-27,333.0
164,2022-03-06,33.0
165,2022-03-13,438.0
166,2022-03-20,1286.1
167,2022-03-27,0.0
168,2022-04-03,0.0
169,2022-04-10,46.4
170,2022-04-17,1512.3
171,2022-04-24,0.0
172,2022-05-01,194.0
173,2022-05-08,0.0
174,2022-05-15,91.05
175,2022-05-22,2773.13
176,2022-05-29,24.5
177,2022-06-05,109.0
178,2022-06-12,0.0
179,2022-06-19,2440.0
180,2022-06-26,0.0
181,2022-07-03,39.0
182,2022-07-10,155.29000000000002
183,2022-07-17,1186.8
184,2022-07-24,5.8
185,2022-07-31,2590.0
186,2022-08-07,54.5
187,2022-08-14,410.0
188,2022-08-21,439.0
189,2022-08-28,1263.9
190,2022-09-04,502.8
191,2022-09-11,0.0
192,2022-09-18,47.0
193,2022-09-25,17.5
194,2022-10-02,1581.3500000000001
195,2022-10-09,250.0
196,2022-10-16,40.0
197,2022-10-23,64.0
198,2022-10-30,288.0
199,2022-11-06,0.0
200,2022-11-13,1239.0
201,2022-11-20,2226.46
202,2022-11-27,190.0
203,2022-12-04,0.0
204,2022-12-11,2.2
205,2022-12-18,0.0
206,2022-12-25,2349.0
207,2023-01-01,281.27
