ds,y
2019-01-06,31.0
2019-01-13,89.4
2019-01-20,63.1
2019-01-27,31.4
2019-02-03,45.6
2019-02-10,84.9
2019-02-17,103.7
2019-02-24,102.2
2019-03-03,122.2
2019-03-10,49.1
2019-03-17,184.2
2019-03-24,85.5
2019-03-31,155.8
2019-04-07,339.8
2019-04-14,399.5
2019-04-21,230.6
2019-04-28,141.9
2019-05-05,40.8
2019-05-12,234.9
2019-05-19,116.69999999999999
2019-05-26,326.5
2019-06-02,109.3
2019-06-09,328.1
2019-06-16,87.9
2019-06-23,96.5
2019-06-30,74.7
2019-07-07,137.0
2019-07-14,84.1
2019-07-21,135.4
2019-07-28,78.8
2019-08-04,127.2
2019-08-11,223.5
2019-08-18,131.70000000000002
2019-08-25,21.3
2019-09-01,137.9
2019-09-08,158.0
2019-09-15,226.2
2019-09-22,87.4
2019-09-29,62.3
2019-10-06,51.9
2019-10-13,108.4
2019-10-20,188.9
2019-10-27,223.9
2019-11-03,98.2
2019-11-10,227.8
2019-11-17,79.7
2019-11-24,130.6
2019-12-01,127.7
2019-12-08,123.0
2019-12-15,182.2
2019-12-22,111.3
2019-12-29,100.4
2020-01-05,87.2
2020-01-12,286.1
2020-01-19,144.8
2020-01-26,173.1
2020-02-02,162.9
2020-02-09,196.5
2020-02-16,981.8
2020-02-23,493.7
2020-03-01,63.6
2020-03-08,253.0
2020-03-15,334.7
2020-03-22,213.1
2020-03-29,0.8
2020-04-05,51.9
2020-04-12,5.300000000000001
2020-04-19,1.0
2020-04-26,141.6
2020-05-03,60.300000000000004
2020-05-10,238.6
2020-05-17,97.30000000000001
2020-05-24,370.3
2020-05-31,349.2
2020-06-07,199.2
2020-06-14,200.0
2020-06-21,87.0
2020-06-28,192.8
2020-07-05,150.4
2020-07-12,127.5
2020-07-19,95.5
2020-07-26,113.2
2020-08-02,183.9
2020-08-09,233.0
2020-08-16,155.7
2020-08-23,409.5
2020-08-30,228.0
2020-09-06,315.9
2020-09-13,515.6
2020-09-20,607.6
2020-09-27,167.5
2020-10-04,291.6
2020-10-11,542.8
2020-10-18,282.5
2020-10-25,581.4
2020-11-01,607.1
2020-11-08,349.3
2020-11-15,305.1
2020-11-22,533.7
2020-11-29,270.4
2020-12-06,454.6
2020-12-13,109.10000000000001
2020-12-20,195.9
2020-12-27,192.7
2021-01-03,126.7
2021-01-10,301.8
2021-01-17,172.4
2021-01-24,255.2
2021-01-31,418.4
2021-02-07,172.1
2021-02-14,317.2
2021-02-21,181.0
2021-02-28,311.2
2021-03-07,340.0
2021-03-14,424.8
2021-03-21,301.9
2021-03-28,299.6
2021-04-04,223.6
2021-04-11,866.4
2021-04-18,488.7
2021-04-25,666.9
2021-05-02,414.3
2021-05-09,515.6
2021-05-16,319.1
2021-05-23,497.90000000000003
2021-05-30,293.6
2021-06-06,340.6
2021-06-13,635.8
2021-06-20,165.3
2021-06-27,332.7
2021-07-04,341.6
2021-07-11,415.8
2021-07-18,396.2
2021-07-25,320.1
2021-08-01,411.9
2021-08-08,307.9
2021-08-15,397.6
2021-08-22,164.2
2021-08-29,619.4
2021-09-05,193.1
2021-09-12,279.1
2021-09-19,497.7
2021-09-26,347.9
2021-10-03,303.3
2021-10-10,381.6
2021-10-17,362.3
2021-10-24,255.8
2021-10-31,256.8
2021-11-07,271.1
2021-11-14,213.79999999999998
2021-11-21,495.0
2021-11-28,367.4
2021-12-05,265.0
2021-12-12,279.6
2021-12-19,224.3
2021-12-26,121.30000000000001
2022-01-02,145.7
2022-01-09,129.2
2022-01-16,318.5
2022-01-23,286.1
2022-01-30,374.6
2022-02-06,576.7
2022-02-13,360.7
2022-02-20,266.3
2022-02-27,162.9
2022-03-06,116.3
2022-03-13,74.6
2022-03-20,138.0
2022-03-27,188.0
2022-04-03,261.4
2022-04-10,142.9
2022-04-17,88.2
2022-04-24,103.4
2022-05-01,121.1
2022-05-08,165.3
2022-05-15,142.2
2022-05-22,78.5
2022-05-29,36.5
2022-06-05,309.4
2022-06-12,229.5
2022-06-19,139.2
2022-06-26,85.7
2022-07-03,215.8
2022-07-10,315.2
2022-07-17,27.9
2022-07-24,91.4
2022-07-31,137.9
2022-08-07,175.8
2022-08-14,497.6
2022-08-21,55.9
2022-08-28,122.6
2022-09-04,45.599999999999994
2022-09-11,146.6
2022-09-18,134.5
2022-09-25,37.5
2022-10-02,57.7
2022-10-09,35.3
2022-10-16,29.3
2022-10-23,40.8
2022-10-30,30.0
2022-11-06,98.8
2022-11-13,71.2
2022-11-20,86.7
2022-11-27,233.1
2022-12-04,23.3
2022-12-11,36.5
2022-12-18,97.2
2022-12-25,37.8
2023-01-01,41.1
