ds,y
2019-01-06,112.3
2019-01-13,75.6
2019-01-20,155.5
2019-01-27,159.60000000000002
2019-02-03,16.5
2019-02-10,93.8
2019-02-17,55.5
2019-02-24,4.5
2019-03-03,109.7
2019-03-10,4.7
2019-03-17,112.5
2019-03-24,26.5
2019-03-31,129.8
2019-04-07,69.1
2019-04-14,74.2
2019-04-21,34.2
2019-04-28,156.8
2019-05-05,303.0
2019-05-12,226.5
2019-05-19,308.4
2019-05-26,327.79999999999995
2019-06-02,186.6
2019-06-09,106.6
2019-06-16,185.8
2019-06-23,232.59999999999997
2019-06-30,256.5
2019-07-07,314.4
2019-07-14,84.19999999999999
2019-07-21,86.0
2019-07-28,19.9
2019-08-04,141.89999999999998
2019-08-11,192.4
2019-08-18,287.0
2019-08-25,88.5
2019-09-01,112.3
2019-09-08,194.29999999999998
2019-09-15,81.1
2019-09-22,285.5
2019-09-29,185.60000000000002
2019-10-06,247.79999999999998
2019-10-13,229.0
2019-10-20,66.25
2019-10-27,566.9
2019-11-03,194.39999999999998
2019-11-10,221.90000000000003
2019-11-17,162.9
2019-11-24,247.8
2019-12-01,111.6
2019-12-08,107.80000000000001
2019-12-15,127.99999999999999
2019-12-22,99.30000000000001
2019-12-29,49.2
2020-01-05,42.5
2020-01-12,176.79999999999998
2020-01-19,138.79999999999998
2020-01-26,138.0
2020-02-02,43.3
2020-02-09,117.2
2020-02-16,61.099999999999994
2020-02-23,124.1
2020-03-01,48.0
2020-03-08,31.5
2020-03-15,12.899999999999999
2020-03-22,6.5
2020-03-29,0.5
2020-04-05,2.0
2020-04-12,36.3
2020-04-19,28.799999999999997
2020-04-26,89.8
2020-05-03,45.4
2020-05-10,43.2
2020-05-17,103.6
2020-05-24,93.3
2020-05-31,308.8
2020-06-07,292.90000000000003
2020-06-14,256.40000000000003
2020-06-21,257.6
2020-06-28,299.20000000000005
2020-07-05,143.59999999999997
2020-07-12,282.4
2020-07-19,307.7
2020-07-26,218.59999999999997
2020-08-02,307.8
2020-08-09,525.5
2020-08-16,349.8
2020-08-23,221.59999999999997
2020-08-30,383.6
2020-09-06,276.49999999999994
2020-09-13,180.89999999999998
2020-09-20,198.5
2020-09-27,423.30000000000007
2020-10-04,236.79999999999998
2020-10-11,131.4
2020-10-18,158.60000000000002
2020-10-25,178.0
2020-11-01,337.8
2020-11-08,371.5
2020-11-15,443.30000000000007
2020-11-22,483.79999999999995
2020-11-29,356.59999999999997
2020-12-06,468.0
2020-12-13,202.79999999999998
2020-12-20,448.09999999999997
2020-12-27,86.8
2021-01-03,22.299999999999997
2021-01-10,78.3
2021-01-17,453.09999999999997
2021-01-24,248.39999999999998
2021-01-31,538.5999999999999
2021-02-07,197.10000000000002
2021-02-14,381.40000000000003
2021-02-21,228.79999999999998
2021-02-28,147.8
2021-03-07,182.3
2021-03-14,6.9
2021-03-21,57.8
2021-03-28,214.6
2021-04-04,111.60000000000001
2021-04-11,255.19999999999996
2021-04-18,195.5
2021-04-25,101.4
2021-05-02,104.5
2021-05-09,335.20000000000005
2021-05-16,250.1
2021-05-23,435.80000000000007
2021-05-30,152.0
2021-06-06,383.8
2021-06-13,426.09999999999997
2021-06-20,362.20000000000005
2021-06-27,147.79999999999998
2021-07-04,198.40000000000003
2021-07-11,190.99999999999997
2021-07-18,204.6
2021-07-25,350.7
2021-08-01,243.89999999999998
2021-08-08,177.5
2021-08-15,273.29999999999995
2021-08-22,219.89999999999998
2021-08-29,347.4
2021-09-05,226.69999999999996
2021-09-12,272.5
2021-09-19,409.6
2021-09-26,396.1
2021-10-03,211.39999999999998
2021-10-10,195.39999999999998
2021-10-17,142.70000000000002
2021-10-24,325.59999999999997
2021-10-31,393.9
2021-11-07,276.3
2021-11-14,184.1
2021-11-21,288.1
2021-11-28,182.60000000000002
2021-12-05,229.60000000000002
2021-12-12,226.99999999999997
2021-12-19,335.8
2021-12-26,114.0
2022-01-02,99.65
2022-01-09,166.64999999999998
2022-01-16,151.7
2022-01-23,379.4
2022-01-30,78.3
2022-02-06,49.199999999999996
2022-02-13,229.09999999999997
2022-02-20,195.6
2022-02-27,203.0
2022-03-06,59.2
2022-03-13,146.0
2022-03-20,249.7
2022-03-27,320.99999999999994
2022-04-03,144.8
2022-04-10,217.70000000000002
2022-04-17,163.5
2022-04-24,181.9
2022-05-01,525.9
2022-05-08,629.0
2022-05-15,146.2
2022-05-22,141.49999999999997
2022-05-29,95.6
2022-06-05,165.5
2022-06-12,250.6
2022-06-19,41.0
2022-06-26,197.2
2022-07-03,131.0
2022-07-10,152.7
2022-07-17,59.199999999999996
2022-07-24,191.0
2022-07-31,121.6
2022-08-07,124.1
2022-08-14,264.0
2022-08-21,229.29999999999998
2022-08-28,257.7
2022-09-04,91.6
2022-09-11,112.6
2022-09-18,196.59999999999997
2022-09-25,209.3
2022-10-02,219.29999999999998
2022-10-09,133.6
2022-10-16,129.3
2022-10-23,414.6000000000001
2022-10-30,213.99999999999997
2022-11-06,279.8
2022-11-13,240.0
2022-11-20,162.5
2022-11-27,154.9
2022-12-04,153.6
2022-12-11,119.7
2022-12-18,121.1
2022-12-25,169.7
2023-01-01,191.9
