,ds,y
0,2019-01-06,1950.0
1,2019-01-13,2402.0
2,2019-01-20,2782.0
3,2019-01-27,3263.0
4,2019-02-03,3843.0
5,2019-02-10,3324.0
6,2019-02-17,3696.0
7,2019-02-24,3278.0
8,2019-03-03,3691.0
9,2019-03-10,2659.0
10,2019-03-17,2391.0
11,2019-03-24,3036.0
12,2019-03-31,3946.0
13,2019-04-07,3329.0
14,2019-04-14,3443.0
15,2019-04-21,1920.0
16,2019-04-28,3533.0
17,2019-05-05,3121.0
18,2019-05-12,3867.0
19,2019-05-19,3785.0
20,2019-05-26,3735.0
21,2019-06-02,2631.0
22,2019-06-09,4052.0
23,2019-06-16,3463.0
24,2019-06-23,2760.0
25,2019-06-30,3067.0
26,2019-07-07,2841.0
27,2019-07-14,2673.0
28,2019-07-21,4209.0
29,2019-07-28,3209.0
30,2019-08-04,2947.0
31,2019-08-11,3357.0
32,2019-08-18,3797.0
33,2019-08-25,2714.0
34,2019-09-01,4383.0
35,2019-09-08,2580.0
36,2019-09-15,2843.0
37,2019-09-22,3549.0
38,2019-09-29,2839.0
39,2019-10-06,3195.0
40,2019-10-13,2959.0
41,2019-10-20,4808.0
42,2019-10-27,3019.0
43,2019-11-03,2584.0
44,2019-11-10,2909.0
45,2019-11-17,2726.0
46,2019-11-24,2857.0
47,2019-12-01,2900.0
48,2019-12-08,2467.0
49,2019-12-15,2526.0
50,2019-12-22,2989.4
51,2019-12-29,1671.0
52,2020-01-05,1783.0
53,2020-01-12,1913.0
54,2020-01-19,2243.0
55,2020-01-26,2679.0
56,2020-02-02,2862.0
57,2020-02-09,2793.0
58,2020-02-16,3038.0
59,2020-02-23,3154.0
60,2020-03-01,2030.0
61,2020-03-08,2988.0
62,2020-03-15,2787.0
63,2020-03-22,1943.0
64,2020-03-29,1686.0
65,2020-04-05,811.0
66,2020-04-12,380.0
67,2020-04-19,1837.0
68,2020-04-26,1951.0
69,2020-05-03,1901.5
70,2020-05-10,1989.0
71,2020-05-17,1779.0
72,2020-05-24,2845.0
73,2020-05-31,2300.0
74,2020-06-07,2061.0
75,2020-06-14,2521.0
76,2020-06-21,1912.0
77,2020-06-28,2259.0
78,2020-07-05,2245.0
79,2020-07-12,2468.0
80,2020-07-19,2862.0
81,2020-07-26,3119.0
82,2020-08-02,2440.0
83,2020-08-09,2750.0
84,2020-08-16,2605.0
85,2020-08-23,3022.0
86,2020-08-30,2301.0
87,2020-09-06,3073.0
88,2020-09-13,1910.0
89,2020-09-20,3636.0
90,2020-09-27,3779.0
91,2020-10-04,2527.0
92,2020-10-11,3089.0
93,2020-10-18,3814.0
94,2020-10-25,2859.0
95,2020-11-01,3243.0
96,2020-11-08,3106.0
97,2020-11-15,2838.0
98,2020-11-22,3595.0
