,ds,y
0,2019-01-06,221.5
1,2019-01-13,240.5
2,2019-01-20,67.0
3,2019-01-27,9.5
4,2019-02-03,141.5
5,2019-02-10,15.5
6,2019-02-17,0.0
7,2019-02-24,0.0
8,2019-03-03,0.0
9,2019-03-10,10.5
10,2019-03-17,0.0
11,2019-03-24,9.0
12,2019-03-31,188.0
13,2019-04-07,120.0
14,2019-04-14,21.0
15,2019-04-21,0.0
16,2019-04-28,567.5
17,2019-05-05,7.0
18,2019-05-12,70.0
19,2019-05-19,78.5
20,2019-05-26,33.5
21,2019-06-02,28.0
22,2019-06-09,12.0
23,2019-06-16,78.0
24,2019-06-23,20.0
25,2019-06-30,0.0
26,2019-07-07,73.0
27,2019-07-14,76.0
28,2019-07-21,112.0
29,2019-07-28,11.0
30,2019-08-04,11.5
31,2019-08-11,131.0
32,2019-08-18,9.5
33,2019-08-25,34.5
34,2019-09-01,0.0
35,2019-09-08,181.0
36,2019-09-15,0.0
37,2019-09-22,0.0
38,2019-09-29,19.5
39,2019-10-06,0.0
40,2019-10-13,0.0
41,2019-10-20,0.0
42,2019-10-27,136.0
43,2019-11-03,194.0
44,2019-11-10,57.0
45,2019-11-17,16.0
46,2019-11-24,76.0
47,2019-12-01,117.0
48,2019-12-08,112.5
49,2019-12-15,7.5
50,2019-12-22,0.0
51,2019-12-29,0.0
52,2020-01-05,129.5
53,2020-01-12,91.0
54,2020-01-19,108.5
55,2020-01-26,93.0
56,2020-02-02,234.5
57,2020-02-09,17.0
58,2020-02-16,0.0
59,2020-02-23,0.0
60,2020-03-01,0.0
61,2020-03-08,0.0
62,2020-03-15,38.0
63,2020-03-22,0.0
64,2020-03-29,0.0
65,2020-04-05,0.0
66,2020-04-12,0.0
67,2020-04-19,0.0
68,2020-04-26,0.0
69,2020-05-03,0.0
70,2020-05-10,0.0
71,2020-05-17,0.0
72,2020-05-24,0.0
73,2020-05-31,0.0
74,2020-06-07,0.0
75,2020-06-14,0.0
76,2020-06-21,0.0
77,2020-06-28,0.0
78,2020-07-05,0.0
79,2020-07-12,0.0
80,2020-07-19,22.5
81,2020-07-26,0.0
82,2020-08-02,0.0
83,2020-08-09,84.0
84,2020-08-16,35.0
85,2020-08-23,51.0
86,2020-08-30,0.0
87,2020-09-06,134.0
88,2020-09-13,89.0
89,2020-09-20,146.0
90,2020-09-27,148.0
91,2020-10-04,0.0
92,2020-10-11,0.0
93,2020-10-18,157.0
94,2020-10-25,187.0
95,2020-11-01,11.0
96,2020-11-08,20.0
97,2020-11-15,56.0
98,2020-11-22,0.0
99,2020-11-29,41.13
100,2020-12-06,38.0
101,2020-12-13,59.0
102,2020-12-20,63.0
103,2020-12-27,0.0
104,2021-01-03,50.0
105,2021-01-10,5.0
106,2021-01-17,0.0
107,2021-01-24,84.0
108,2021-01-31,0.0
109,2021-02-07,3.5
110,2021-02-14,90.0
111,2021-02-21,50.0
112,2021-02-28,0.0
113,2021-03-07,0.0
114,2021-03-14,0.0
115,2021-03-21,10.0
116,2021-03-28,0.0
117,2021-04-04,13.0
118,2021-04-11,0.0
119,2021-04-18,58.0
120,2021-04-25,0.0
121,2021-05-02,20.0
122,2021-05-09,18.8
123,2021-05-16,0.0
124,2021-05-23,0.0
125,2021-05-30,45.0
126,2021-06-06,0.0
127,2021-06-13,0.0
128,2021-06-20,0.0
129,2021-06-27,0.0
130,2021-07-04,0.0
131,2021-07-11,0.0
132,2021-07-18,0.0
133,2021-07-25,0.0
134,2021-08-01,10.0
135,2021-08-08,0.0
136,2021-08-15,0.0
137,2021-08-22,0.0
138,2021-08-29,0.0
139,2021-09-05,0.0
140,2021-09-12,0.0
141,2021-09-19,0.0
142,2021-09-26,23.0
143,2021-10-03,0.0
144,2021-10-10,0.0
145,2021-10-17,0.0
146,2021-10-24,1.0
147,2021-10-31,0.0
148,2021-11-07,0.0
149,2021-11-14,40.0
150,2021-11-21,0.0
151,2021-11-28,0.0
152,2021-12-05,72.0
153,2021-12-12,171.0
154,2021-12-19,93.0
155,2021-12-26,0.0
156,2022-01-02,51.0
157,2022-01-09,50.0
158,2022-01-16,31.0
159,2022-01-23,2.0
160,2022-01-30,20.0
161,2022-02-06,0.0
162,2022-02-13,0.0
163,2022-02-20,48.0
164,2022-02-27,0.0
165,2022-03-06,0.0
166,2022-03-13,0.0
167,2022-03-20,121.5
168,2022-03-27,120.0
169,2022-04-03,5.0
170,2022-04-10,0.0
171,2022-04-17,3.5
172,2022-04-24,5.5
173,2022-05-01,4.0
174,2022-05-08,3.5
175,2022-05-15,0.0
176,2022-05-22,3.0
177,2022-05-29,0.0
178,2022-06-05,0.0
179,2022-06-12,118.5
180,2022-06-19,67.0
181,2022-06-26,390.0
182,2022-07-03,92.5
183,2022-07-10,0.0
184,2022-07-17,149.5
185,2022-07-24,134.4
186,2022-07-31,86.5
187,2022-08-07,54.5
188,2022-08-14,89.4
189,2022-08-21,41.0
190,2022-08-28,165.1
191,2022-09-04,0.0
192,2022-09-11,0.0
193,2022-09-18,0.0
194,2022-09-25,0.0
195,2022-10-02,0.0
196,2022-10-09,0.0
197,2022-10-16,0.0
198,2022-10-23,0.0
199,2022-10-30,0.0
200,2022-11-06,0.0
201,2022-11-13,0.0
202,2022-11-20,0.0
203,2022-11-27,73.5
204,2022-12-04,58.0
205,2022-12-11,42.0
206,2022-12-18,19.0
207,2022-12-25,26.9
208,2023-01-01,50.5
