ds,y
2019-01-06,19.5
2019-01-13,46.0
2019-01-20,71.5
2019-01-27,15.5
2019-02-03,50.5
2019-02-10,54.0
2019-02-17,77.0
2019-02-24,165.0
2019-03-03,114.0
2019-03-10,160.5
2019-03-17,39.0
2019-03-24,178.0
2019-03-31,78.0
2019-04-07,38.0
2019-04-14,0.0
2019-04-21,53.0
2019-04-28,44.0
2019-05-05,244.0
2019-05-12,63.5
2019-05-19,47.0
2019-05-26,134.0
2019-06-02,27.0
2019-06-09,76.5
2019-06-16,72.0
2019-06-23,105.0
2019-06-30,114.0
2019-07-07,186.0
2019-07-14,244.5
2019-07-21,58.0
2019-07-28,131.0
2019-08-04,62.0
2019-08-11,151.5
2019-08-18,333.0
2019-08-25,92.0
2019-09-01,56.0
2019-09-08,84.0
2019-09-15,101.5
2019-09-22,96.0
2019-09-29,14.0
2019-10-06,244.0
2019-10-13,158.5
2019-10-20,29.0
2019-10-27,160.0
2019-11-03,245.5
2019-11-10,42.6
2019-11-17,58.5
2019-11-24,73.0
2019-12-01,148.0
2019-12-08,84.0
2019-12-15,133.5
2019-12-22,142.5
2019-12-29,115.0
2020-01-05,73.0
2020-01-12,122.0
2020-01-19,227.0
2020-01-26,65.0
2020-02-02,99.0
2020-02-09,54.0
2020-02-16,118.0
2020-02-23,218.0
2020-03-01,166.5
2020-03-08,64.0
2020-03-15,191.0
2020-03-22,198.5
2020-03-29,390.0
2020-04-05,42.0
2020-04-12,83.0
2020-04-19,307.0
2020-04-26,298.0
2020-05-03,193.0
2020-05-10,599.6
2020-05-17,204.0
2020-05-24,197.4
2020-05-31,304.0
2020-06-07,176.5
2020-06-14,405.5
2020-06-21,321.0
2020-06-28,577.0
2020-07-05,765.0
2020-07-12,473.0
2020-07-19,207.0
2020-07-26,431.0
2020-08-02,341.5
2020-08-09,549.5
2020-08-16,833.5
2020-08-23,616.0
2020-08-30,542.5
2020-09-06,468.5
2020-09-13,346.0
2020-09-20,863.0
2020-09-27,484.7
2020-10-04,229.0
2020-10-11,285.0
2020-10-18,267.0
2020-10-25,478.6
2020-11-01,493.5
2020-11-08,221.5
2020-11-15,334.3
2020-11-22,126.0
2020-11-29,502.1
2020-12-06,247.0
2020-12-13,581.0
2020-12-20,225.7
2020-12-27,271.0
2021-01-03,341.5
2021-01-10,26.5
2021-01-17,351.0
2021-01-24,93.0
2021-01-31,46.5
2021-02-07,402.5
2021-02-14,654.5
2021-02-21,424.0
2021-02-28,316.4
2021-03-07,400.4
2021-03-14,311.5
2021-03-21,217.5
2021-03-28,334.0
2021-04-04,20.9
2021-04-11,548.0
2021-04-18,266.0
2021-04-25,270.0
2021-05-02,589.0
2021-05-09,341.0
2021-05-16,520.5
2021-05-23,197.5
2021-05-30,261.1
2021-06-06,358.5
2021-06-13,145.9
2021-06-20,447.5
2021-06-27,432.9
2021-07-04,426.8
2021-07-11,326.3
2021-07-18,937.5
2021-07-25,404.2
2021-08-01,407.0
2021-08-08,871.8
2021-08-15,598.2
2021-08-22,413.8
2021-08-29,508.0
2021-09-05,535.0
2021-09-12,306.5
2021-09-19,476.0
2021-09-26,694.9
2021-10-03,644.4
2021-10-10,367.0
2021-10-17,518.0
2021-10-24,555.0
2021-10-31,220.5
2021-11-07,698.5
2021-11-14,535.5
2021-11-21,695.0
2021-11-28,410.5
2021-12-05,232.0
2021-12-12,563.5
2021-12-19,178.0
2021-12-26,151.0
2022-01-02,461.0
2022-01-09,137.0
2022-01-16,247.5
2022-01-23,108.5
2022-01-30,139.0
2022-02-06,288.2
2022-02-13,352.3
2022-02-20,218.0
2022-02-27,144.6
2022-03-06,238.3
2022-03-13,307.5
2022-03-20,228.1
2022-03-27,136.5
2022-04-03,412.3
2022-04-10,225.5
2022-04-17,103.0
2022-04-24,614.1
2022-05-01,473.1
2022-05-08,385.0
2022-05-15,281.6
2022-05-22,407.0
2022-05-29,268.0
2022-06-05,376.0
2022-06-12,207.65
2022-06-19,414.7
2022-06-26,292.4
2022-07-03,250.0
2022-07-10,144.5
2022-07-17,179.5
2022-07-24,377.5
2022-07-31,265.5
2022-08-07,332.0
2022-08-14,113.0
2022-08-21,343.0
2022-08-28,406.5
2022-09-04,102.5
2022-09-11,142.5
2022-09-18,91.5
2022-09-25,64.5
2022-10-02,50.4
2022-10-09,93.5
2022-10-16,112.0
2022-10-23,59.2
2022-10-30,63.0
2022-11-06,74.0
2022-11-13,91.0
2022-11-20,77.5
2022-11-27,72.5
2022-12-04,5.5
2022-12-11,15.0
2022-12-18,64.0
2022-12-25,68.0
2023-01-01,50.0
