,ds,y
0,2019-01-06,150.5
1,2019-01-13,0.0
2,2019-01-20,599.0
3,2019-01-27,145.0
4,2019-02-03,18.0
5,2019-02-10,20.0
6,2019-02-17,0.0
7,2019-02-24,6.0
8,2019-03-03,0.0
9,2019-03-10,91.5
10,2019-03-17,0.0
11,2019-03-24,22.0
12,2019-03-31,90.5
13,2019-04-07,266.5
14,2019-04-14,125.0
15,2019-04-21,0.0
16,2019-04-28,473.0
17,2019-05-05,390.0
18,2019-05-12,191.5
19,2019-05-19,231.0
20,2019-05-26,213.0
21,2019-06-02,150.5
22,2019-06-09,126.0
23,2019-06-16,372.0
24,2019-06-23,489.0
25,2019-06-30,0.0
26,2019-07-07,142.0
27,2019-07-14,202.0
28,2019-07-21,435.5
29,2019-07-28,52.0
30,2019-08-04,461.0
31,2019-08-11,93.0
32,2019-08-18,398.0
33,2019-08-25,523.0
34,2019-09-01,442.0
35,2019-09-08,684.0
36,2019-09-15,304.0
37,2019-09-22,581.0
38,2019-09-29,815.5
39,2019-10-06,474.5
40,2019-10-13,0.0
41,2019-10-20,408.5
42,2019-10-27,711.5
43,2019-11-03,782.0
44,2019-11-10,527.5
45,2019-11-17,334.0
46,2019-11-24,490.5
47,2019-12-01,263.5
48,2019-12-08,349.0
49,2019-12-15,129.5
50,2019-12-22,200.5
51,2019-12-29,379.0
52,2020-01-05,327.0
53,2020-01-12,120.0
54,2020-01-19,386.5
55,2020-01-26,683.5
56,2020-02-02,666.0
57,2020-02-09,0.0
58,2020-02-16,218.0
59,2020-02-23,0.0
60,2020-03-01,0.0
61,2020-03-08,0.0
62,2020-03-15,57.0
63,2020-03-22,135.0
64,2020-03-29,0.0
65,2020-04-05,0.0
66,2020-04-12,0.0
67,2020-04-19,0.0
68,2020-04-26,0.0
69,2020-05-03,0.0
70,2020-05-10,0.0
71,2020-05-17,0.0
72,2020-05-24,0.0
73,2020-05-31,0.0
74,2020-06-07,0.0
75,2020-06-14,0.0
76,2020-06-21,0.0
77,2020-06-28,0.0
78,2020-07-05,292.5
79,2020-07-12,0.0
80,2020-07-19,801.5
81,2020-07-26,0.0
82,2020-08-02,0.0
83,2020-08-09,577.0
84,2020-08-16,741.0
85,2020-08-23,712.0
86,2020-08-30,0.0
87,2020-09-06,795.0
88,2020-09-13,1236.0
89,2020-09-20,995.0
90,2020-09-27,666.0
91,2020-10-04,657.5
92,2020-10-11,0.0
93,2020-10-18,491.0
94,2020-10-25,1286.0
95,2020-11-01,351.5
96,2020-11-08,370.5
97,2020-11-15,193.4
98,2020-11-22,308.0
99,2020-11-29,665.7
100,2020-12-06,601.0
101,2020-12-13,686.04
102,2020-12-20,510.88
103,2020-12-27,564.42
104,2021-01-03,603.78
105,2021-01-10,628.6
106,2021-01-17,622.5
107,2021-01-24,803.61
108,2021-01-31,849.5
109,2021-02-07,564.0
110,2021-02-14,524.9
111,2021-02-21,1465.0
112,2021-02-28,0.0
113,2021-03-07,234.2
114,2021-03-14,173.0
115,2021-03-21,112.0
116,2021-03-28,186.18
117,2021-04-04,508.34
118,2021-04-11,0.0
119,2021-04-18,1101.5
120,2021-04-25,639.2
121,2021-05-02,393.6
122,2021-05-09,548.4
123,2021-05-16,718.7
124,2021-05-23,260.7
125,2021-05-30,2139.6
126,2021-06-06,785.0
127,2021-06-13,577.0
128,2021-06-20,492.0
129,2021-06-27,517.9
130,2021-07-04,549.3
131,2021-07-11,0.0
132,2021-07-18,466.0
133,2021-07-25,1368.0
134,2021-08-01,730.1
135,2021-08-08,398.3
136,2021-08-15,1197.0
137,2021-08-22,658.0
138,2021-08-29,170.0
139,2021-09-05,1317.16
140,2021-09-12,0.0
141,2021-09-19,690.0
142,2021-09-26,769.0
143,2021-10-03,1486.5
144,2021-10-10,149.0
145,2021-10-17,632.0
146,2021-10-24,1048.7
147,2021-10-31,642.0
148,2021-11-07,0.0
149,2021-11-14,554.0
150,2021-11-21,0.0
151,2021-11-28,166.0
152,2021-12-05,1593.0
153,2021-12-12,0.0
154,2021-12-19,0.0
155,2021-12-26,580.0
156,2022-01-02,473.0
157,2022-01-09,831.3
158,2022-01-16,0.0
159,2022-01-23,0.0
160,2022-01-30,146.0
161,2022-02-06,0.0
162,2022-02-13,0.0
163,2022-02-20,0.0
164,2022-02-27,262.0
165,2022-03-06,0.0
166,2022-03-13,0.0
167,2022-03-20,38.0
168,2022-03-27,552.0
169,2022-04-03,0.0
170,2022-04-10,314.0
171,2022-04-17,0.0
172,2022-04-24,0.0
173,2022-05-01,207.55
174,2022-05-08,418.0
175,2022-05-15,0.0
176,2022-05-22,343.0
177,2022-05-29,214.24
178,2022-06-05,241.05
179,2022-06-12,0.0
180,2022-06-19,0.0
181,2022-06-26,329.5
182,2022-07-03,0.0
183,2022-07-10,0.0
184,2022-07-17,240.5
185,2022-07-24,490.2
186,2022-07-31,209.0
187,2022-08-07,205.75
188,2022-08-14,611.9
189,2022-08-21,255.95000000000002
190,2022-08-28,359.74
191,2022-09-04,833.65
192,2022-09-11,1579.59
193,2022-09-18,2126.55
194,2022-09-25,1049.29
195,2022-10-02,860.1
196,2022-10-09,877.9
197,2022-10-16,1092.05
198,2022-10-23,695.75
199,2022-10-30,736.5
200,2022-11-06,3163.79
201,2022-11-13,647.75
202,2022-11-20,1059.25
203,2022-11-27,327.25
204,2022-12-04,977.15
205,2022-12-11,456.2
206,2022-12-18,1303.65
207,2022-12-25,371.0
208,2023-01-01,1111.0
