ds,y
2022-05-01,43.0
2022-05-08,0.0
2022-05-15,2.0
2022-05-22,2.0
2022-05-29,80.0
2022-06-05,84.0
2022-06-12,154.0
2022-06-19,14.0
2022-06-26,17.5
2022-07-03,9.0
2022-07-10,29.0
2022-07-17,0.0
2022-07-24,40.0
2022-07-31,48.0
2022-08-07,172.47
2022-08-14,47.0
2022-08-21,784.35
2022-08-28,814.0
2022-09-04,624.5
2022-09-11,832.5
2022-09-18,852.55
2022-09-25,484.5
2022-10-02,990.25
2022-10-09,387.5
2022-10-16,671.0
2022-10-23,567.0
2022-10-30,780.5
2022-11-06,444.5
2022-11-13,652.3
2022-11-20,1196.0
2022-11-27,635.5
2022-12-04,920.0
2022-12-11,372.5
2022-12-18,1346.0
2022-12-25,887.2
2023-01-01,890.4
