ds,y
2019-01-06,43.0
2019-01-13,2.0
2019-01-20,14.0
2019-01-27,114.0
2019-02-03,126.0
2019-02-10,229.8
2019-02-17,130.5
2019-02-24,194.0
2019-03-03,192.7
2019-03-10,215.8
2019-03-17,140.2
2019-03-24,152.79999999999998
2019-03-31,191.74
2019-04-07,132.0
2019-04-14,128.1
2019-04-21,54.0
2019-04-28,553.4
2019-05-05,121.3
2019-05-12,156.0
2019-05-19,116.0
2019-05-26,115.2
2019-06-02,152.7
2019-06-09,131.7
2019-06-16,210.0
2019-06-23,298.7
2019-06-30,171.6
2019-07-07,242.4
2019-07-14,29.0
2019-07-21,70.5
2019-07-28,118.5
2019-08-04,285.0
2019-08-11,123.2
2019-08-18,238.70000000000002
2019-08-25,237.2
2019-09-01,218.6
2019-09-08,101.5
2019-09-15,345.8
2019-09-22,169.0
2019-09-29,173.4
2019-10-06,161.6
2019-10-13,238.0
2019-10-20,197.0
2019-10-27,174.6
2019-11-03,269.0
2019-11-10,163.6
2019-11-17,105.8
2019-11-24,49.1
2019-12-01,231.0
2019-12-08,151.6
2019-12-15,95.30000000000001
2019-12-22,92.4
2019-12-29,466.9
2020-01-05,253.2
2020-01-12,8.4
2020-01-19,121.5
2020-01-26,113.0
2020-02-02,79.5
2020-02-09,237.8
2020-02-16,336.7
2020-02-23,102.39999999999999
2020-03-01,148.8
2020-03-08,185.0
2020-03-15,170.9
2020-03-22,214.0
2020-03-29,220.4
2020-04-05,3.2
2020-04-12,0.0
2020-04-19,50.0
2020-04-26,101.5
2020-05-03,8.6
2020-05-10,110.4
2020-05-17,163.0
2020-05-24,75.8
2020-05-31,192.0
2020-06-07,138.55
2020-06-14,167.0
2020-06-21,154.8
2020-06-28,379.8
2020-07-05,316.6
2020-07-12,457.0
2020-07-19,124.60000000000001
2020-07-26,203.6
2020-08-02,590.4
2020-08-09,715.4
2020-08-16,345.4
2020-08-23,117.0
2020-08-30,277.0
2020-09-06,433.0
2020-09-13,300.3
2020-09-20,539.0
2020-09-27,244.0
2020-10-04,397.3
2020-10-11,358.5
2020-10-18,346.0
2020-10-25,204.0
2020-11-01,316.4
2020-11-08,372.6
2020-11-15,145.0
2020-11-22,209.0
2020-11-29,326.1
2020-12-06,209.5
2020-12-13,308.0
2020-12-20,452.3
2020-12-27,219.82999999999998
2021-01-03,254.65
2021-01-10,73.5
2021-01-17,292.4
2021-01-24,272.0
2021-01-31,27.0
2021-02-07,141.0
2021-02-14,322.7
2021-02-21,194.0
2021-02-28,265.0
2021-03-07,376.0
2021-03-14,181.0
2021-03-21,345.0
2021-03-28,199.6
2021-04-04,241.0
2021-04-11,309.0
2021-04-18,411.0
2021-04-25,216.0
2021-05-02,334.0
2021-05-09,381.0
2021-05-16,434.5
2021-05-23,403.0
2021-05-30,372.0
2021-06-06,209.0
2021-06-13,325.5
2021-06-20,276.0
2021-06-27,402.0
2021-07-04,396.5
2021-07-11,172.0
2021-07-18,861.5
2021-07-25,898.5
2021-08-01,622.0
2021-08-08,293.0
2021-08-15,540.3
2021-08-22,461.2
2021-08-29,485.6
2021-09-05,703.0
2021-09-12,221.0
2021-09-19,725.0
2021-09-26,879.5
2021-10-03,862.0
2021-10-10,454.0
2021-10-17,430.0
2021-10-24,586.0
2021-10-31,369.0
2021-11-07,347.0
2021-11-14,558.0
2021-11-21,531.0
2021-11-28,397.0
2021-12-05,525.0
2021-12-12,483.0
2021-12-19,691.0
2021-12-26,260.0
2022-01-02,196.0
2022-01-09,267.0
2022-01-16,401.0
2022-01-23,514.0
2022-01-30,439.0
2022-02-06,621.0
2022-02-13,615.0
2022-02-20,346.0
2022-02-27,456.0
2022-03-06,172.0
2022-03-13,381.0
2022-03-20,561.0
2022-03-27,269.0
2022-04-03,479.0
2022-04-10,533.0
2022-04-17,339.4
2022-04-24,357.0
2022-05-01,381.0
2022-05-08,589.5
2022-05-15,288.5
2022-05-22,378.0
2022-05-29,244.0
2022-06-05,419.5
2022-06-12,263.0
2022-06-19,183.0
2022-06-26,592.0
2022-07-03,344.0
2022-07-10,226.0
2022-07-17,336.0
2022-07-24,247.5
2022-07-31,480.4
2022-08-07,399.0
2022-08-14,462.0
2022-08-21,491.0
2022-08-28,586.0
2022-09-04,961.5
2022-09-11,435.5
2022-09-18,612.0
2022-09-25,387.2
2022-10-02,420.0
2022-10-09,503.0
2022-10-16,385.6
2022-10-23,316.4
2022-10-30,547.3
2022-11-06,294.7
2022-11-13,370.3
2022-11-20,349.2
2022-11-27,324.6
2022-12-04,278.2
2022-12-11,182.9
2022-12-18,260.8
2022-12-25,409.2
2023-01-01,201.2
