Ciudades_Id,Ciudades_Nombre
1,VARIOS
2,CAPITAL FEDERAL
3,GRAN BS AS
4,INTERIOR
5,FLORESTA
6,FLORIDA BS AS
7,VILLA MARTELLI
8,MUNRO
9,DON TORCUATO
10,GRAND BOUER
11,GARIN
12,PILAR BS AS
13,OLIVOS
14,VICENTE LOPEZ
15,MARTINEZ
16,SAN ISIDRO
17,VICTORIA BS AS
18,SAN FERNANDO
19,TIGRE
20,SAN MARTIN
21,VILLA BALLESTER
22,BELLA VISTA -SAN MIGUEL
23,JOSE C PAZ
24,VILLA LYNCH
25,CIUDAD JARDIN
26,VILLA TESEI
27,CIUDADELA
28,JOSE INGENIEROS
29,RAMOS MEJIA
30,HAEDO
31,MORON
32,CASTELAR
33,ITUZAINGO
34,MERLO
35,LAS HERAS BS AS
36,MORENO
37,LOMAS DEL MIRADOR
38,ISIDRO CASANOVA
39,LA MATANZA
40,EZEIZA BS AS
41,LANUS
42,BANFIELD
43,LOMAS DE ZAMORA
44,TEMPERLEY
45,LLAVALLOL
46,MONTE GRANDE
47,SAN VICENTE -BS.AS.
48,AVELLANEDA
49,BERNAL
50,QUILMES
51,BERAZATEGUI
52,RANELAQH
53,VILLA ELISA-BS AS
54,LA PLATA BS AS
55,BERISSO
56,ENSENADA-BS.AS.
57,CORONEL BRANDSEN BS AS
58,ROSARIO  STA FE
59,ALVAREZ/SOLDINI STA FE
60,PEREZ ROSARIO STA FE
61,VILLA GOB GALVEZ-STA FE
62,ALVEAR ROSARIO STA FE
63,ARROYO SECO ROSARIO STA FE
64,FUNES ROSARIO STA FE
65,ROLDAN SANTA FE
66,CARCARANA-SANTA FE
67,SALTO GRANDE-SANTA FE
68,TOTORAS STA FE
69,GRANADERO BAIGORRIA ROSARIO ST
70,CAPITAN BERMUDEZ STA FE
71,FRAY LUIS BELTRAN STA FE
72,CASILDA STA FE
73,AREQUITO ROSARIO STA FE
74,CRUZ ALTA - CORDOBA
75,SAN LORENZO ROSARIO STA FE
76,PUERTO GRAL SAN MARTIN-STA FE
77,OLIVEROS STA FE
78,CORONDA STA FE
79,GALVEZ ROSARIO STA FE
80,LOPEZ STA FE
81,RAFAELA STA FE
82,BELLA ITALIA STA FE
83,HUMBERTO 1-STA FE
84,SUNCHALES-STA FE
85,CERES STA FE
86,VILLA TRINIDAD-STA FE
87,SAN GUILLERMO SANTA FE
88,SAN FRANCISCO DTO SAN JUSTO CO
89,PORTEÑA-CORDOBA
90,BRINKMANN CORDOBA
91,DEVOTO-CORDOBA
92,ARROYITO CORDOBA
93,FRONTERA ROSARIO STA FE
94,SASTRE-STA FE
95,MARIA JUANA ROSARIO STA FE
96,CANADA DE GOMEZ STA FE
97,LAS PAREJAS ROSARIO STA FE
98,ARMSTRONG STA FE
99,LAS ROSAS STA FE
100,BELLVILLE CORDOBA
101,NOETINGER CORDOBA
102,BALCARSE
103,MARCOS JUAREZ CORDOBA
104,MONTE BUEY CORDOBA
105,LEONES CORDOBA
106,VENADO TUERTO ROSARIO STA FE
107,SANTA ISABEL STA FE
108,SAN GREGORIO- SANTA FE
109,FIRMAT ROSARIO STA FE
110,CORRAL DE BUSTOS CORDOBA
111,MONTE MAIZ CORDOBA
112,LA CARLOTA CORDOBA
113,PERGAMINO BS AS
114,ROJAS BS AS
115,WHEELWRIGHT SANTA FE
116,ARRECIFES - BS AS
117,SALTO  BS AS
118,CAPITAN SARMIENTO BS AS
119,SAN ANTONIO DE ARECO BS AS
120,ZARATE-BS AS
121,LOS CARDALES BS AS
122,GUALEGUAYCHU  ENTRE RIOS
