"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"29.01.2023","377,00","389,00","377,00","377,00","","-1,82%"
"22.01.2023","384,00","377,00","384,00","384,00","","2,67%"
"15.01.2023","374,00","368,00","374,00","374,00","","1,91%"
"08.01.2023","367,00","356,00","367,00","367,00","","4,26%"
"01.01.2023","352,00","350,00","352,00","352,00","","2,33%"
"25.12.2022","344,00","341,00","344,00","344,00","","1,78%"
"18.12.2022","338,00","325,00","338,00","338,00","","5,96%"
"11.12.2022","319,00","317,00","319,00","319,00","","1,59%"
"04.12.2022","314,00","313,00","314,00","314,00","","1,29%"
"27.11.2022","310,00","320,00","310,00","310,00","","-2,52%"
"20.11.2022","318,00","307,00","318,00","318,00","","4,61%"
"13.11.2022","304,00","295,00","304,00","304,00","","4,47%"
"06.11.2022","291,00","291,00","291,00","291,00","","1,39%"
"30.10.2022","287,00","293,00","287,00","287,00","","-1,03%"
"23.10.2022","290,00","293,00","290,00","290,00","","0,35%"
"16.10.2022","289,00","289,00","289,00","289,00","","0,35%"
"09.10.2022","288,00","283,00","288,00","288,00","","4,73%"
"02.10.2022","275,00","289,00","275,00","275,00","","-3,85%"
"25.09.2022","286,00","288,00","286,00","286,00","","0,35%"
"18.09.2022","285,00","280,00","285,00","285,00","","3,64%"
"11.09.2022","275,00","274,00","275,00","275,00","","1,10%"
"04.09.2022","272,00","282,00","272,00","272,00","","-3,89%"
"28.08.2022","283,00","294,00","283,00","283,00","","-2,41%"
"21.08.2022","290,00","296,00","290,00","290,00","","-1,02%"
"14.08.2022","293,00","295,00","293,00","293,00","","0,17%"
"07.08.2022","292,50","294,50","292,50","292,50","","0,69%"
"31.07.2022","290,50","294,50","290,50","290,50","","-1,02%"
"24.07.2022","293,50","350,50","293,50","293,50","","-12,52%"
"17.07.2022","335,50","292,50","335,50","335,50","","15,49%"
"10.07.2022","290,50","273,50","290,50","290,50","","7,39%"
"03.07.2022","270,50","239,50","270,50","270,50","","13,89%"
"26.06.2022","237,50","227,50","237,50","237,50","","5,79%"
"19.06.2022","224,50","219,50","224,50","224,50","","4,66%"
"12.06.2022","214,50","213,50","214,50","214,50","","2,88%"
"05.06.2022","208,50","205,50","208,50","208,50","","2,46%"
"29.05.2022","203,50","206,50","203,50","203,50","","-0,73%"
"22.05.2022","205,00","206,50","205,00","205,00","","1,23%"
"15.05.2022","202,50","205,50","202,50","202,50","","0,25%"
"08.05.2022","202,00","202,00","202,00","202,00","","1,25%"
"01.05.2022","199,50","202,50","199,50","199,50","","0,25%"
"24.04.2022","199,00","205,50","199,00","199,00","","-1,24%"
"17.04.2022","201,50","196,50","201,50","201,50","","4,13%"
"10.04.2022","193,50","196,50","193,50","193,50","","-0,77%"
"03.04.2022","195,00","200,50","195,00","195,00","","-1,76%"
"27.03.2022","198,50","201,50","198,50","198,50","","-1,00%"
"20.03.2022","200,50","204,50","200,50","200,50","","-0,25%"
"13.03.2022","201,00","204,50","201,00","201,00","","0,25%"
"06.03.2022","200,50","202,00","200,50","200,50","","0,50%"
"27.02.2022","199,50","212,50","199,50","199,50","","-4,77%"
"20.02.2022","209,50","213,50","209,50","209,50","","0,00%"
"13.02.2022","209,50","216,50","209,50","209,50","","-2,10%"
"06.02.2022","214,00","213,50","214,00","214,00","","0,71%"
"30.01.2022","212,50","213,50","212,50","212,50","","0,71%"
"23.01.2022","211,00","219,50","211,00","211,00","","-2,99%"
"16.01.2022","217,50","210,50","217,50","217,50","","4,57%"
"09.01.2022","208,00","208,50","208,00","208,00","","0,73%"
"02.01.2022","206,50","207,50","206,50","206,50","","0,00%"
"26.12.2021","206,50","203,50","206,50","206,50","","1,98%"
"19.12.2021","202,50","202,00","202,50","202,50","","2,02%"
"12.12.2021","198,50","197,50","198,50","198,50","","1,79%"
"05.12.2021","195,00","202,00","195,00","195,00","","-2,01%"
"28.11.2021","199,00","202,50","199,00","199,00","","-0,25%"
"21.11.2021","199,50","202,50","199,50","199,50","","-0,25%"
"14.11.2021","200,00","202,50","200,00","200,00","","0,76%"
"07.11.2021","198,50","200,50","198,50","198,50","","0,51%"
"31.10.2021","197,50","198,00","197,50","197,50","","0,77%"
"24.10.2021","196,00","195,00","196,00","196,00","","1,29%"
