ds,y
2019-01-06,957.0
2019-01-13,1724.0
2019-01-20,867.5
2019-01-27,1047.0
2019-02-03,509.0
2019-02-10,1017.5
2019-02-17,917.4000000000001
2019-02-24,564.7
2019-03-03,2138.5
2019-03-10,386.5
2019-03-17,1598.5
2019-03-24,1620.9
2019-03-31,2428.8
2019-04-07,956.14
2019-04-14,2125.05
2019-04-21,464.2
2019-04-28,3030.95
2019-05-05,1991.1
2019-05-12,2217.5
2019-05-19,2120.7
2019-05-26,4087.0
2019-06-02,2617.2
2019-06-09,1489.55
2019-06-16,1787.1
2019-06-23,2041.6
2019-06-30,4930.1
2019-07-07,2028.7
2019-07-14,1577.1
2019-07-21,2171.5
2019-07-28,6297.5
2019-08-04,5282.5
2019-08-11,1776.2
2019-08-18,8606.98
2019-08-25,1738.2000000000003
2019-09-01,3168.2999999999997
2019-09-08,3486.2999999999997
2019-09-15,4839.7
2019-09-22,5838.3
2019-09-29,4191.0
2019-10-06,1067.1000000000001
2019-10-13,5334.500000000001
2019-10-20,3508.7999999999993
2019-10-27,3450.7
2019-11-03,7973.7
2019-11-10,2531.5
2019-11-17,3224.7
2019-11-24,3003.6
2019-12-01,1717.12
2019-12-08,1459.6
2019-12-15,7839.599999999998
2019-12-22,4392.999999999998
2019-12-29,448.0
2020-01-05,3539.4
2020-01-12,1362.2
2020-01-19,3626.5
2020-01-26,2691.5099999999998
2020-02-02,7527.099999999999
2020-02-09,2832.0
2020-02-16,4438.9
2020-02-23,4459.5
2020-03-01,972.4999999999999
2020-03-08,1986.4000000000003
2020-03-15,1732.0999999999997
2020-03-22,3121.5
2020-03-29,137.0
2020-04-05,281.0
2020-04-12,87.0
2020-04-19,2602.5
2020-04-26,775.0
2020-05-03,3881.7999999999997
2020-05-10,146.4
2020-05-17,301.20000000000005
2020-05-24,912.5000000000001
2020-05-31,2198.2
2020-06-07,1254.5
2020-06-14,970.6
2020-06-21,992.9
2020-06-28,3475.399999999999
2020-07-05,1137.2
2020-07-12,875.0
2020-07-19,1240.2
2020-07-26,1483.3
2020-08-02,1100.6
2020-08-09,2098.9
2020-08-16,897.48
2020-08-23,531.8
2020-08-30,1290.0
2020-09-06,727.1000000000001
2020-09-13,1250.6999999999998
2020-09-20,2415.8999999999996
2020-09-27,4284.1
2020-10-04,2712.7
2020-10-11,1698.9999999999998
2020-10-18,2588.5
2020-10-25,1448.9
2020-11-01,730.1
2020-11-08,4295.5
2020-11-15,1180.3000000000002
2020-11-22,1301.8
2020-11-29,2125.9
2020-12-06,4224.700000000001
2020-12-13,971.1
2020-12-20,2669.7999999999997
2020-12-27,2341.4
2021-01-03,4565.999999999999
2021-01-10,1104.0
2021-01-17,1637.5
2021-01-24,514.8
2021-01-31,4553.099999999999
2021-02-07,282.5
2021-02-14,496.3
2021-02-21,869.5
2021-02-28,2047.1
2021-03-07,3097.9999999999995
2021-03-14,2201.4
2021-03-21,2323.5
2021-03-28,1200.0
2021-04-04,2277.0
2021-04-11,2545.5
2021-04-18,4860.0
2021-04-25,3913.0
2021-05-02,3722.9
2021-05-09,1340.0
2021-05-16,2590.0
2021-05-23,1898.5
2021-05-30,1818.6
2021-06-06,3980.0
2021-06-13,2626.6
2021-06-20,1767.5
2021-06-27,1864.0
2021-07-04,1569.0
2021-07-11,2988.0
2021-07-18,2333.0
2021-07-25,2829.0
2021-08-01,2016.5
2021-08-08,2443.0
2021-08-15,623.6
2021-08-22,3475.8
2021-08-29,2477.0
2021-09-05,3048.0
2021-09-12,3272.0
2021-09-19,1662.0
2021-09-26,1378.5
2021-10-03,4227.0
2021-10-10,2261.0
2021-10-17,2093.0
2021-10-24,2867.0
2021-10-31,1248.4
2021-11-07,269.5
2021-11-14,1877.6
2021-11-21,2720.5
2021-11-28,2073.0
2021-12-05,1760.2
2021-12-12,2841.0
2021-12-19,1473.5
2021-12-26,991.0
2022-01-02,2742.5
2022-01-09,876.0
2022-01-16,160.0
2022-01-23,2229.5
2022-01-30,712.0
2022-02-06,3559.0
2022-02-13,1399.0
2022-02-20,4976.5
2022-02-27,2093.0
2022-03-06,229.5
2022-03-13,1865.0
2022-03-20,1769.0
2022-03-27,2914.0
2022-04-03,1144.0
2022-04-10,2846.0
2022-04-17,1585.0
2022-04-24,1425.5
2022-05-01,1966.5
2022-05-08,1532.9
2022-05-15,998.0
2022-05-22,2525.0
2022-05-29,332.5
2022-06-05,718.5
2022-06-12,825.3
2022-06-19,1175.5
2022-06-26,2760.0
2022-07-03,1435.5
2022-07-10,947.5
2022-07-17,1638.0
2022-07-24,1956.5
2022-07-31,1282.0
2022-08-07,2873.21
2022-08-14,1835.9
2022-08-21,835.0
2022-08-28,2476.2
2022-09-04,684.0
2022-09-11,923.0
2022-09-18,1067.1
2022-09-25,1188.3
2022-10-02,2159.0
2022-10-09,1629.1000000000001
2022-10-16,799.0
2022-10-23,1157.0
2022-10-30,3584.0
2022-11-06,2720.3999999999996
2022-11-13,290.1
2022-11-20,906.0
2022-11-27,2408.2999999999997
2022-12-04,326.0
2022-12-11,1237.8
2022-12-18,747.6
2022-12-25,485.2
2023-01-01,1617.86
