ds,y
2019-01-13,4.0
2019-01-20,0.0
2019-01-27,0.0
2019-02-03,504.0
2019-02-10,1883.2
2019-02-17,0.0
2019-02-24,23.0
2019-03-03,563.5
2019-03-10,0.0
2019-03-17,0.0
2019-03-24,417.95
2019-03-31,1226.0
2019-04-07,1980.0
2019-04-14,0.0
2019-04-21,0.0
2019-04-28,871.95
2019-05-05,60.0
2019-05-12,0.0
2019-05-19,0.0
2019-05-26,1994.0
2019-06-02,997.0
2019-06-09,192.2
2019-06-16,0.0
2019-06-23,0.0
2019-06-30,5.5
2019-07-07,740.0
2019-07-14,0.0
2019-07-21,33.5
2019-07-28,580.0
2019-08-04,314.9
2019-08-11,0.0
2019-08-18,0.0
2019-08-25,16.65
2019-09-01,1982.75
2019-09-08,425.0
2019-09-15,0.0
2019-09-22,47.25
2019-09-29,0.0
2019-10-06,3143.0
2019-10-13,0.0
2019-10-20,50.0
2019-10-27,557.0
2019-11-03,726.0
2019-11-10,29.0
2019-11-17,0.0
2019-11-24,254.0
2019-12-01,749.8
2019-12-08,0.0
2019-12-15,0.0
2019-12-22,691.55
2019-12-29,1596.0
2020-01-05,0.0
2020-01-12,2466.0
2020-01-19,4.35
2020-01-26,1337.1499999999999
2020-02-02,50.0
2020-02-09,149.16
2020-02-16,0.0
2020-02-23,521.9
2020-03-01,0.0
2020-03-08,6056.84
2020-03-15,0.0
2020-03-22,0.0
2020-03-29,0.0
2020-04-05,0.0
2020-04-12,0.0
2020-04-19,988.5
2020-04-26,0.0
2020-05-03,258.0
2020-05-10,0.0
2020-05-17,4.5
2020-05-24,256.0
2020-05-31,30.0
2020-06-07,0.0
2020-06-14,141.0
2020-06-21,368.5
2020-06-28,2.9
2020-07-05,72.0
2020-07-12,0.0
2020-07-19,4.21
2020-07-26,0.0
2020-08-02,613.85
2020-08-09,0.0
2020-08-16,0.0
2020-08-23,258.5
2020-08-30,447.5
2020-09-06,0.0
2020-09-13,21.1
2020-09-20,0.0
2020-09-27,5.17
2020-10-04,0.0
2020-10-11,2.4
2020-10-18,0.0
2020-10-25,449.45
2020-11-01,0.0
2020-11-08,0.0
2020-11-15,3.7
2020-11-22,0.0
2020-11-29,0.0
2020-12-06,5.4
2020-12-13,377.0
2020-12-20,0.0
2020-12-27,601.0
2021-01-03,637.5
2021-01-10,36.15
2021-01-17,0.0
2021-01-24,0.0
2021-01-31,663.1
2021-02-07,7.2
2021-02-14,3.0
2021-02-21,0.0
2021-02-28,707.0
2021-03-07,0.0
2021-03-14,719.0
2021-03-21,4845.59
2021-03-28,0.0
2021-04-04,135.5
2021-04-11,0.0
2021-04-18,0.0
2021-04-25,0.0
2021-05-02,2890.5
2021-05-09,1000.0
2021-05-16,898.8
2021-05-23,256.0
2021-05-30,0.0
2021-06-06,0.0
2021-06-13,679.8800000000001
2021-06-20,0.0
2021-06-27,25.2
2021-07-04,655.0
2021-07-11,0.0
2021-07-18,1037.6
2021-07-25,60.0
2021-08-01,13.2
2021-08-08,0.0
2021-08-15,265.25
2021-08-22,872.0
2021-08-29,252.0
2021-09-05,818.0
2021-09-12,69.3
2021-09-19,1833.0
2021-09-26,0.0
2021-10-03,17.5
2021-10-10,5.95
2021-10-17,29.4
2021-10-24,29.4
2021-10-31,1895.7
2021-11-07,83.4
2021-11-14,172.0
2021-11-21,0.0
2021-11-28,296.0
2021-12-05,200.0
2021-12-12,356.4
2021-12-19,785.0
2021-12-26,0.0
2022-01-02,250.5
2022-01-09,774.5
2022-01-16,2128.5
2022-01-23,0.0
2022-01-30,1043.0
2022-02-06,0.0
2022-02-13,456.5
2022-02-20,225.0
2022-02-27,333.0
2022-03-06,33.0
2022-03-13,438.0
2022-03-20,1286.1
2022-03-27,0.0
2022-04-03,0.0
2022-04-10,46.4
2022-04-17,1512.3
2022-04-24,0.0
2022-05-01,194.0
2022-05-08,0.0
2022-05-15,91.05
2022-05-22,2773.13
2022-05-29,24.5
2022-06-05,109.0
2022-06-12,0.0
2022-06-19,2440.0
2022-06-26,0.0
2022-07-03,39.0
2022-07-10,155.29000000000002
2022-07-17,1186.8
2022-07-24,5.8
2022-07-31,2590.0
2022-08-07,54.5
2022-08-14,410.0
2022-08-21,439.0
2022-08-28,1263.9
2022-09-04,502.8
2022-09-11,0.0
2022-09-18,47.0
2022-09-25,17.5
2022-10-02,1581.3500000000001
2022-10-09,250.0
2022-10-16,40.0
2022-10-23,64.0
2022-10-30,288.0
2022-11-06,0.0
2022-11-13,1239.0
2022-11-20,2226.46
2022-11-27,190.0
2022-12-04,0.0
2022-12-11,2.2
2022-12-18,0.0
2022-12-25,2349.0
2023-01-01,281.27
