ds,y
2019-01-06,1950.0
2019-01-13,2402.0
2019-01-20,2782.0
2019-01-27,3263.0
2019-02-03,3843.0
2019-02-10,3324.0
2019-02-17,3696.0
2019-02-24,3278.0
2019-03-03,3691.0
2019-03-10,2659.0
2019-03-17,2391.0
2019-03-24,3036.0
2019-03-31,3946.0
2019-04-07,3329.0
2019-04-14,3443.0
2019-04-21,1920.0
2019-04-28,3533.0
2019-05-05,3121.0
2019-05-12,3867.0
2019-05-19,3785.0
2019-05-26,3735.0
2019-06-02,2631.0
2019-06-09,4052.0
2019-06-16,3463.0
2019-06-23,2760.0
2019-06-30,3067.0
2019-07-07,2841.0
2019-07-14,2673.0
2019-07-21,4209.0
2019-07-28,3209.0
2019-08-04,2947.0
2019-08-11,3357.0
2019-08-18,3797.0
2019-08-25,2714.0
2019-09-01,4383.0
2019-09-08,2580.0
2019-09-15,2843.0
2019-09-22,3549.0
2019-09-29,2839.0
2019-10-06,3195.0
2019-10-13,2959.0
2019-10-20,4808.0
2019-10-27,3019.0
2019-11-03,2584.0
2019-11-10,2909.0
2019-11-17,2726.0
2019-11-24,2857.0
2019-12-01,2900.0
2019-12-08,2467.0
2019-12-15,2526.0
2019-12-22,2989.4
2019-12-29,1671.0
2020-01-05,1783.0
2020-01-12,1913.0
2020-01-19,2243.0
2020-01-26,2679.0
2020-02-02,2862.0
2020-02-09,2793.0
2020-02-16,3038.0
2020-02-23,3154.0
2020-03-01,2030.0
2020-03-08,2988.0
2020-03-15,2787.0
2020-03-22,1943.0
2020-03-29,1686.0
2020-04-05,811.0
2020-04-12,380.0
2020-04-19,1837.0
2020-04-26,1951.0
2020-05-03,1901.5
2020-05-10,1989.0
2020-05-17,1779.0
2020-05-24,2845.0
2020-05-31,2300.0
2020-06-07,2061.0
2020-06-14,2521.0
2020-06-21,1912.0
2020-06-28,2259.0
2020-07-05,2245.0
2020-07-12,2468.0
2020-07-19,2862.0
2020-07-26,3119.0
2020-08-02,2440.0
2020-08-09,2750.0
2020-08-16,2605.0
2020-08-23,3022.0
2020-08-30,2301.0
2020-09-06,3073.0
2020-09-13,1910.0
2020-09-20,3636.0
2020-09-27,3779.0
2020-10-04,2527.0
2020-10-11,3089.0
2020-10-18,3814.0
2020-10-25,2859.0
2020-11-01,3243.0
2020-11-08,3106.0
2020-11-15,2838.0
2020-11-22,3595.0
2020-11-29,2897.0
2020-12-06,2735.0
2020-12-13,3966.0
2020-12-20,1923.0
2020-12-27,2759.0
2021-01-03,1904.0
2021-01-10,2879.0
2021-01-17,3213.0
2021-01-24,3450.0
2021-01-31,2553.0
2021-02-07,3587.0
2021-02-14,3766.0
2021-02-21,2007.0
2021-02-28,2687.0
2021-03-07,2726.0
2021-03-14,3262.0
2021-03-21,3772.0
2021-03-28,2350.0
2021-04-04,2396.0
2021-04-11,4167.0
2021-04-18,3721.0
2021-04-25,3108.0
2021-05-02,3984.0
2021-05-09,3860.0
2021-05-16,3411.5
2021-05-23,3208.0
2021-05-30,3635.0
2021-06-06,3532.0
2021-06-13,2576.0
2021-06-20,3630.0
2021-06-27,4040.0
2021-07-04,2342.0
2021-07-11,3766.0
2021-07-18,3806.0
2021-07-25,3532.0
2021-08-01,3276.0
2021-08-08,3920.0
2021-08-15,2938.0
2021-08-22,3560.0
2021-08-29,3600.0
2021-09-05,3314.0
2021-09-12,3182.0
2021-09-19,3730.0
2021-09-26,4249.0
2021-10-03,5266.0
2021-10-10,3080.0
2021-10-17,4951.0
2021-10-24,3471.0
2021-10-31,3744.4
2021-11-07,4989.0
2021-11-14,4568.0
2021-11-21,4673.0
2021-11-28,3415.0
2021-12-05,3530.0
2021-12-12,3753.0
2021-12-19,3142.0
2021-12-26,2780.0
2022-01-02,2068.0
2022-01-09,2941.0
2022-01-16,3590.0
2022-01-23,910.0
2022-01-30,5612.0
2022-02-06,4104.0
2022-02-13,3730.0
2022-02-20,4098.0
2022-02-27,4330.0
2022-03-06,2730.0
2022-03-13,3324.0
2022-03-20,3313.0
2022-03-27,3897.0
2022-04-03,3693.0
2022-04-10,4987.0
2022-04-17,1996.0
2022-04-24,3803.0
2022-05-01,3455.0
2022-05-08,4446.0
2022-05-15,3980.0
2022-05-22,3898.0
2022-05-29,5165.0
2022-06-05,3852.0
2022-06-12,4063.0
2022-06-19,3956.0
2022-06-26,4669.0
2022-07-03,4195.0
2022-07-10,1830.0
2022-07-17,3986.0
2022-07-24,5896.0
2022-07-31,5071.0
2022-08-07,6086.0
2022-08-14,4850.0
2022-08-21,4173.0
2022-08-28,4634.0
2022-09-04,3357.0
2022-09-11,3758.0
2022-09-18,4092.0
2022-09-25,4479.0
2022-10-02,4152.0
2022-10-09,2409.0
2022-10-16,4222.0
2022-10-23,3606.0
2022-10-30,3458.0
2022-11-06,3067.0
2022-11-13,2557.0
2022-11-20,1651.0
2022-11-27,2538.0
2022-12-04,2321.0
2022-12-11,4285.0
2022-12-18,4084.0
2022-12-25,3274.0
2023-01-01,2813.0
