ds,y
2019-01-06,221.5
2019-01-13,240.5
2019-01-20,67.0
2019-01-27,9.5
2019-02-03,141.5
2019-02-10,15.5
2019-02-17,0.0
2019-02-24,0.0
2019-03-03,0.0
2019-03-10,10.5
2019-03-17,0.0
2019-03-24,9.0
2019-03-31,188.0
2019-04-07,120.0
2019-04-14,21.0
2019-04-21,0.0
2019-04-28,567.5
2019-05-05,7.0
2019-05-12,70.0
2019-05-19,78.5
2019-05-26,33.5
2019-06-02,28.0
2019-06-09,12.0
2019-06-16,78.0
2019-06-23,20.0
2019-06-30,0.0
2019-07-07,73.0
2019-07-14,76.0
2019-07-21,112.0
2019-07-28,11.0
2019-08-04,11.5
2019-08-11,131.0
2019-08-18,9.5
2019-08-25,34.5
2019-09-01,0.0
2019-09-08,181.0
2019-09-15,0.0
2019-09-22,0.0
2019-09-29,19.5
2019-10-06,0.0
2019-10-13,0.0
2019-10-20,0.0
2019-10-27,136.0
2019-11-03,194.0
2019-11-10,57.0
2019-11-17,16.0
2019-11-24,76.0
2019-12-01,117.0
2019-12-08,112.5
2019-12-15,7.5
2019-12-22,0.0
2019-12-29,0.0
2020-01-05,129.5
2020-01-12,91.0
2020-01-19,108.5
2020-01-26,93.0
2020-02-02,234.5
2020-02-09,17.0
2020-02-16,0.0
2020-02-23,0.0
2020-03-01,0.0
2020-03-08,0.0
2020-03-15,38.0
2020-03-22,0.0
2020-03-29,0.0
2020-04-05,0.0
2020-04-12,0.0
2020-04-19,0.0
2020-04-26,0.0
2020-05-03,0.0
2020-05-10,0.0
2020-05-17,0.0
2020-05-24,0.0
2020-05-31,0.0
2020-06-07,0.0
2020-06-14,0.0
2020-06-21,0.0
2020-06-28,0.0
2020-07-05,0.0
2020-07-12,0.0
2020-07-19,22.5
2020-07-26,0.0
2020-08-02,0.0
2020-08-09,84.0
2020-08-16,35.0
2020-08-23,51.0
2020-08-30,0.0
2020-09-06,134.0
2020-09-13,89.0
2020-09-20,146.0
2020-09-27,148.0
2020-10-04,0.0
2020-10-11,0.0
2020-10-18,157.0
2020-10-25,187.0
2020-11-01,11.0
2020-11-08,20.0
2020-11-15,56.0
2020-11-22,0.0
2020-11-29,41.13
2020-12-06,38.0
2020-12-13,59.0
2020-12-20,63.0
2020-12-27,0.0
2021-01-03,50.0
2021-01-10,5.0
2021-01-17,0.0
2021-01-24,84.0
2021-01-31,0.0
2021-02-07,3.5
2021-02-14,90.0
2021-02-21,50.0
2021-02-28,0.0
2021-03-07,0.0
2021-03-14,0.0
2021-03-21,10.0
2021-03-28,0.0
2021-04-04,13.0
2021-04-11,0.0
2021-04-18,58.0
2021-04-25,0.0
2021-05-02,20.0
2021-05-09,18.8
2021-05-16,0.0
2021-05-23,0.0
2021-05-30,45.0
2021-06-06,0.0
2021-06-13,0.0
2021-06-20,0.0
2021-06-27,0.0
2021-07-04,0.0
2021-07-11,0.0
2021-07-18,0.0
2021-07-25,0.0
2021-08-01,10.0
2021-08-08,0.0
2021-08-15,0.0
2021-08-22,0.0
2021-08-29,0.0
2021-09-05,0.0
2021-09-12,0.0
2021-09-19,0.0
2021-09-26,23.0
2021-10-03,0.0
2021-10-10,0.0
2021-10-17,0.0
2021-10-24,1.0
2021-10-31,0.0
2021-11-07,0.0
2021-11-14,40.0
2021-11-21,0.0
2021-11-28,0.0
2021-12-05,72.0
2021-12-12,171.0
2021-12-19,93.0
2021-12-26,0.0
2022-01-02,51.0
2022-01-09,50.0
2022-01-16,31.0
2022-01-23,2.0
2022-01-30,20.0
2022-02-06,0.0
2022-02-13,0.0
2022-02-20,48.0
2022-02-27,0.0
2022-03-06,0.0
2022-03-13,0.0
2022-03-20,121.5
2022-03-27,120.0
2022-04-03,5.0
2022-04-10,0.0
2022-04-17,3.5
2022-04-24,5.5
2022-05-01,4.0
2022-05-08,3.5
2022-05-15,0.0
2022-05-22,3.0
2022-05-29,0.0
2022-06-05,0.0
2022-06-12,118.5
2022-06-19,67.0
2022-06-26,390.0
2022-07-03,92.5
2022-07-10,0.0
2022-07-17,149.5
2022-07-24,134.4
2022-07-31,86.5
2022-08-07,54.5
2022-08-14,89.4
2022-08-21,41.0
2022-08-28,165.10000000000002
2022-09-04,0.0
2022-09-11,0.0
2022-09-18,0.0
2022-09-25,0.0
2022-10-02,0.0
2022-10-09,0.0
2022-10-16,0.0
2022-10-23,0.0
2022-10-30,0.0
2022-11-06,0.0
2022-11-13,0.0
2022-11-20,0.0
2022-11-27,73.5
2022-12-04,58.0
2022-12-11,42.0
2022-12-18,19.0
2022-12-25,26.9
2023-01-01,50.5
