ds,y
2019-01-06,150.5
2019-01-13,0.0
2019-01-20,599.0
2019-01-27,145.0
2019-02-03,18.0
2019-02-10,20.0
2019-02-17,0.0
2019-02-24,6.0
2019-03-03,0.0
2019-03-10,91.5
2019-03-17,0.0
2019-03-24,22.0
2019-03-31,90.5
2019-04-07,266.5
2019-04-14,125.0
2019-04-21,0.0
2019-04-28,473.0
2019-05-05,390.0
2019-05-12,191.5
2019-05-19,231.0
2019-05-26,213.0
2019-06-02,150.5
2019-06-09,126.0
2019-06-16,372.0
2019-06-23,489.0
2019-06-30,0.0
2019-07-07,142.0
2019-07-14,202.0
2019-07-21,435.5
2019-07-28,52.0
2019-08-04,461.0
2019-08-11,93.0
2019-08-18,398.0
2019-08-25,523.0
2019-09-01,442.0
2019-09-08,684.0
2019-09-15,304.0
2019-09-22,581.0
2019-09-29,815.5
2019-10-06,474.5
2019-10-13,0.0
2019-10-20,408.5
2019-10-27,711.5
2019-11-03,782.0
2019-11-10,527.5
2019-11-17,334.0
2019-11-24,490.5
2019-12-01,263.5
2019-12-08,349.0
2019-12-15,129.5
2019-12-22,200.5
2019-12-29,379.0
2020-01-05,327.0
2020-01-12,120.0
2020-01-19,386.5
2020-01-26,683.5
2020-02-02,666.0
2020-02-09,0.0
2020-02-16,218.0
2020-02-23,0.0
2020-03-01,0.0
2020-03-08,0.0
2020-03-15,57.0
2020-03-22,135.0
2020-03-29,0.0
2020-04-05,0.0
2020-04-12,0.0
2020-04-19,0.0
2020-04-26,0.0
2020-05-03,0.0
2020-05-10,0.0
2020-05-17,0.0
2020-05-24,0.0
2020-05-31,0.0
2020-06-07,0.0
2020-06-14,0.0
2020-06-21,0.0
2020-06-28,0.0
2020-07-05,292.5
2020-07-12,0.0
2020-07-19,801.5
2020-07-26,0.0
2020-08-02,0.0
2020-08-09,577.0
2020-08-16,741.0
2020-08-23,712.0
2020-08-30,0.0
2020-09-06,795.0
2020-09-13,1236.0
2020-09-20,995.0
2020-09-27,666.0
2020-10-04,657.5
2020-10-11,0.0
2020-10-18,491.0
2020-10-25,1286.0
2020-11-01,351.5
2020-11-08,370.5
2020-11-15,193.4
2020-11-22,308.0
2020-11-29,665.7
2020-12-06,601.0
2020-12-13,686.0400000000001
2020-12-20,510.88
2020-12-27,564.42
2021-01-03,603.7800000000001
2021-01-10,628.6
2021-01-17,622.5
2021-01-24,803.61
2021-01-31,849.5
2021-02-07,564.0
2021-02-14,524.9
2021-02-21,1465.0
2021-02-28,0.0
2021-03-07,234.2
2021-03-14,173.0
2021-03-21,112.0
2021-03-28,186.18
2021-04-04,508.34000000000003
2021-04-11,0.0
2021-04-18,1101.5
2021-04-25,639.2
2021-05-02,393.6
2021-05-09,548.3999999999999
2021-05-16,718.7
2021-05-23,260.7
2021-05-30,2139.6
2021-06-06,785.0
2021-06-13,577.0
2021-06-20,492.0
2021-06-27,517.9
2021-07-04,549.3
2021-07-11,0.0
2021-07-18,466.0
2021-07-25,1368.0
2021-08-01,730.1
2021-08-08,398.3
2021-08-15,1197.0
2021-08-22,658.0
2021-08-29,170.0
2021-09-05,1317.16
2021-09-12,0.0
2021-09-19,690.0
2021-09-26,769.0
2021-10-03,1486.5
2021-10-10,149.0
2021-10-17,632.0
2021-10-24,1048.7
2021-10-31,642.0
2021-11-07,0.0
2021-11-14,554.0
2021-11-21,0.0
2021-11-28,166.0
2021-12-05,1593.0
2021-12-12,0.0
2021-12-19,0.0
2021-12-26,580.0
2022-01-02,473.0
2022-01-09,831.3
2022-01-16,0.0
2022-01-23,0.0
2022-01-30,146.0
2022-02-06,0.0
2022-02-13,0.0
2022-02-20,0.0
2022-02-27,262.0
2022-03-06,0.0
2022-03-13,0.0
2022-03-20,38.0
2022-03-27,552.0
2022-04-03,0.0
2022-04-10,314.0
2022-04-17,0.0
2022-04-24,0.0
2022-05-01,207.55
2022-05-08,418.0
2022-05-15,0.0
2022-05-22,343.0
2022-05-29,214.24
2022-06-05,241.05
2022-06-12,0.0
2022-06-19,0.0
2022-06-26,329.5
2022-07-03,0.0
2022-07-10,0.0
2022-07-17,240.5
2022-07-24,490.19999999999993
2022-07-31,209.0
2022-08-07,205.75
2022-08-14,611.8999999999999
2022-08-21,255.95000000000002
2022-08-28,359.73999999999995
2022-09-04,833.6500000000002
2022-09-11,1579.5899999999997
2022-09-18,2126.5499999999997
2022-09-25,1049.2900000000002
2022-10-02,860.1
2022-10-09,877.8999999999999
2022-10-16,1092.05
2022-10-23,695.7499999999998
2022-10-30,736.5000000000001
2022-11-06,3163.7900000000004
2022-11-13,647.7499999999999
2022-11-20,1059.2500000000002
2022-11-27,327.25
2022-12-04,977.1499999999999
2022-12-11,456.20000000000005
2022-12-18,1303.65
2022-12-25,371.0
2023-01-01,1111.0000000000002
