Motivos_Id,MotivosFac_Id,MotivosFac_Nombre
55,2,COURIER - LISTADO ADJUNTO
24,21,8-Expo-TNT
47,25,SERVICIO PARADA FIJA
26,26,TNT GOODYEAR
29,27,BAYRES
30,28,8 Expo DHL 
32,30,7 UPS Economy Expedited COURIER
33,31,6-Expo-UPS Express
35,32,Motivo Expo x Default
36,36,USA FLAT
37,37,IMPO7 - ECONOMY
38,38,IMPOE-EXPRESS
39,39,NON  LIMITS USA
40,40,CARGA AEREA USA
41,41,CARGAS AÉREAS CARGO
42,43,RAIBOX
43,44,IBERIA aforos
44,45,IMPO 14 - ESPAÑA
45,46,IMPORTACION A NOMBRE DE 3º
46,47,COPA AIRLINES
49,49,FACTURACION CACESA
50,50,IMPO TRASH
51,51,ORIENTE FEDEX
52,52,ECONOMY IMEX
53,54,COPA AIRLINES - EXPO
54,55,IB IMPO MUNDIAL - Geobox
57,57,CARGA AEREA EXPO PREPAID
58,58,NO USAR CARGA AEREA-EXPO
60,59,IMPUESTOS EN DESTINO 
61,60,ENTREGAS CACESA
62,61,ENTREGAS COPA
63,62,ALMACENAJE COPA
64,63,SERVICIO DE RECOGIDA
65,64,DEVOLUCIONES Y ABANDONOS
66,65,AJUSTES VARIOS
67,66,NOTAS DE CREDITO
68,67,SERVICIO COURIER REMAIL-EXPO
69,68,PROMO RAICO PLUS
70,69,3-Expo - PTY FEDEX
71,70,2-Expo - PTY FEDEX PAK
72,71,STANDARD MAIL
73,72,IMPO * TRANSP V V I
75,74,RAICO MIAMI
81,81,FEDEX IMEX
82,82,DEVOLUCION NAC EXPO
83,83,DEVOLUCION INT EXPO
84,87,IBERIA ENTREGAS
87,90,TCA (almacenaje) y Entrega documental IBERIA IMPO
89,93,Diferencia de Cotizacion - Impo
90,94,Diferencia de Cambio
92,97,UPS MERCOSUR
93,98,USA - UPS
95,101,CARGA - COURIER FEDEX ECONOMY
96,102,CARGA - COURIER UPS
97,103,CARGA - COURIER FEDEX PRIORITY
98,104,Carga Marítima IMPO - LCL
99,105,Carga Marítima IMPO - FCL
100,106,Carga martítima EXPO LCL
101,107,Carga martítima EXPO FCL
102,109,CARGA - COURIER IMEX x Fedex
105,114,MAYORISTA UPS
106,115,MAYORISTA TNT
107,116,MAYORISTA FEDEX
108,117,MAYORISTA IBERIA
110,119,CARGA AEREA EXPO CT
111,120, -Expo - IMEX x DHL
112,121,INACTIVO
113,122,TNT ECO 15
114,123,TNT ECO 10
115,124,TNT ECO 25
116,125,CACESA NL - CARGA
117,126,ORIENTE NL - CARGA
118,127,CARGAS AEREAS GEOBOX
119,128,DESCO AGENTE  MAYORISTA MAY
120,129,4-Expo - Fedex Economy
121,130,CARGA - COURIER FEDEX Economy
122,131,DISTRIBUCION NACIONAL
123,132,1-Expo - PTY FEDEX Envelope
124,133,5-EXPO - UPS Envelope
125,134,MAYORISTA FEDEX PACK PTY
126,135,Impo Geobox Flat 
127,136,Impo Imaca Flat Europa
128,137,NO USAR IB IMPO MUNDIAL  Geobox 53
129,139,MAYORISTA FEDEX ECONOMY
135,140,IMPUESTOS EN DESTINO -C A
131,141,EUROPA FEDEX 
133,143,CARGAS AEREAS UPS
134,145,CARGAS AEREAS WIND LOGISTICS
136,146,ORIENTE UPS
137,147,CARGA AEREA EXPO - Q
138,148,RECUPERO DE GASTOS POR CUENTA DE C.OCE
139,150,UPS CENTROAMERICA
140,151,ECOMM-MIA
141,152,ECOMM-MAD
142,153,ECOMM-SZX
143,155,ECOMM - MAYORISTA
147,159,IMPO - QUICK
148,160,NL EUROPA UPS-FEDEX
149,161,UPS ECO 10
150,162,UPS ECO 25
151,163,USA FULL
152,164,USA MIX
153,165,TVH USA
154,171,Mercosur FEDEX
155,172,Recupero Gastos Quick
156,173,USA INSUA
158,174,EUROPA UPS
159,177,Exporta Simple - Puerta a Puerta
160,178,Exporta Simple - Puerta-Aeropuerto
161,179,MEDICAMENTOS - QUICK 
162,180,CHINA LATIN LOGISTIC  CO via UPS/FEDEX
163,181,RECUPERO GASTOS CTA 3º MULTAS Y DERIV.
164,182,TVH PPD USA
166,184,Deudores en Gestion Judicial
167,185,Courier Oriente FLAT Wish/Latin logistic
168,186,Recupero Gastos Terceros UPS
169,187,FEDEX RESTO DEL MUNDO ZONA A
170,188,FEDEX RESTO DEL MUNDO ZONA B
171,189,Expo Raico Courier
172,190,VUELO AMAZON
173,191,Reintegro Expo. Simple Clientes
174,193,ACARREOS
175,194,Fedex IPF Expo Simple
176,195,Fedex IECOF Expo Simple
177,196,UPS TVH - BELGICA
178,199,SERVICIO ADUANERO DESPACHOS
179,200,CARGA AEREA WISH-ORIENTE
