Paises_Id,Paises_Codigo,Paises_Nombre
1,ARG,ARGENTINA
2,POL,POLONIA
3,HOL,HOLANDA
4,SUI,SUIZA
5,ALE,ALEMANIA
6,CHI,CHILE
7,JAP,JAPON
8,NOR,NORUEGA
9,ITA,ITALIA
10,AUS,AUSTRIA
11,FRA,FRANCIA
12,BRA,BRASIL
13,URU,URUGUAY
14,ISR,ISRAEL
15,BEL,BELGICA
16,SUE,SUECIA
17,TAI,TAIWAN
18,SUD,SUDAFRICA
19,JAM,JAMAICA
20,PER,PERU
21,IRL,IRLANDA
22,BUL,BULGARIA
23,COL,COLOMBIA
24,CAN,CANADA
25,ING,INGLATERRA
26,PAR,PARAGUAY
27,PAN,PANAMA
28,MEX,MEXICO
29,VEN,VENEZUELA
30,ECU,ECUADOR
31,GUY,GUAYANA
32,ESP,ESPAÑA
33,GUA,GUATEMALA
34,BOL,BOLIVIA
35,NIC,NICARAGUA
36,FIN,FINLANDIA
37,HON,HONDURAS
38,MAL,MALASIA
39,POR,PORTUGAL
40,IND,INDONESIA
41,THA,TAILANDIA
42,SIN,SINGAPURE
43,EL,EL SALVADOR
44,COS,COSTA RICA
45,RUS,RUSIA
46,HUN,HUNGRIA
47,ISL,ISLANDIA
48,ANG,ANGOLA
49,ANU,ANGUILA
50,ANT,ANTIGUA
51,ANL,ANTILLAS HOLANDESAS
52,ARA,ARABIA SAUDITA
53,ARE,ARGELIA
54,ARU,ARUBA
55,ALI,AUSTRALIA
56,BAH,BAHAMAS
57,BAR,BAHRAIN
58,BAN,BANGLADESH
59,BDO,BARBADOS
60,BAB,BARBUDA
61,BEI,BELICE
62,BEN,BENIN
63,BER,BERMUDA
64,BIE,BIELORUSIA
65,BON,BONAIRE
66,BOS,BOSNIA - HERZEGOVINA
67,BOT,BOTSWANA
68,BRU,BRUNEI
69,BUK,BURKINA FASO
70,BUR,BURUNDI
71,BUT,BUTAN
72,CAB,CABO VERDE
73,CAM,CAMBODIA
74,CME,CAMERUN
75,CHA,CHAD
76,CHN,CHINA
77,CHP,CHIPRE
78,CIU,CIUDAD DEL VATICANO
79,CON,CONGO
80,COR,COREA
81,CMA,COSTA DE MARFIL
82,CRO,CROACIA
83,CUR,CURACAO
84,DIN,DINAMARCA
85,DJI,DJIBOUTI
86,DOM,DOMINICANA
87,EGI,EGIPTO
88,EMI,EMIRATOS ARABES UNIDOS
89,ERI,ERITREA
90,ESC,ESCOCIA
91,EST,ESTADOS UNIDOS
92,ETO,ESTONIA
93,ETI,ETIOPIA
94,FIJ,FIJI
95,FIL,FILIPINAS
96,GAL,GALES
97,GAM,GAMBIA
98,GHA,GHANA
99,GRA,GRANADA
100,GRE,GRECIA
101,GDA,GUADALUPE
102,GUM,GUAM
103,GUF,GUAYANA FRANCESA
104,GUI,GUINEA
105,GUB,GUINEA-BISSAU
106,GUE,GUINEA ECUATORIAL
107,HAI,HAITI
108,HKO,HONG KONG
109,INI,INDIA
110,IRA,IRAN
111,IRN,IRLANDA DEL NORTE
112,ISC,ISLAS CAIMAN
113,ICA,ISLAS DEL CANAL
114,ISM,ISLAS MARSHALL
115,IVB,ISLAS VIRGENES BRITANICAS
116,IVU,ISLAS VIRGENES U.S.
117,JOR,JORDANIA
118,KEN,KENYA
119,KUW,KUWAIT
120,LAT,LATVIA
121,LES,LESOTHO
122,LIB,LIBANO
123,LIE,LIECHTENSTEIN
124,LIT,LITUANIA
125,LUX,LUXEMBURGO
126,MAC,MACAO
127,MAD,MADAGASCAR
128,MLW,MALAWI
129,MAV,MALDIVIA
130,MAI,MALI
131,MAT,MALTA
132,MAR,MARRUECOS
133,MTI,MARTINICA
134,MAU,MAURICIO
135,MUR,MAURITANIA
136,MIC,MICRONESIA
137,MON,MONACO
138,MOS,MONSERRAT
139,MOZ,MOZAMBIQUE
140,NAM,NAMIBIA
141,NEP,NEPAL
142,NIG,NIGER
143,NIR,NIGERIA
144,NCA,NUEVA CALEDONIA
145,NZE,NUEVA ZELANDA
146,OMA,OMAN
147,PAK,PAKISTAN
148,PAL,PALAOS
149,PAP,PAPUA NUEVA GUINEA
150,PUE,PUERTO RICO
151,QAT,QATAR
152,AFR,AFRICA
153,REC,REPUBLICA CHECA
154,RDO,REPUBLICA DOMINICANA
155,REU,REUNION
156,RUA,RUANDA
157,RUM,RUMANIA
158,SAB,SABA
159,SAI,SAIPAN
160,SAN,SAN MARINO
161,STV,SAN VICENTE Y LAS GRANADINAS
162,STC,ST.CROIX
163,STL,SANTA LUCIA
164,SEN,SENEGAL
165,SEY,SEYCHELLES
166,SIE,SIERRA LEONA
167,SIR,SIRIA
168,SOM,SOMALIA
169,SRI,SRI LANKA
170,STB,SAN BARTOLOME
171,STE,ST.EUSTASIUS
172,STJ,ST.JOHN
173,STK,SAN KITTS Y NEVIS
174,STM,SAN MARTIN
175,STT,SANTO TOME Y PRINCIPE
176,SUA,SUDAN
177,SUR,SURINAM
178,SWA,SUAZILANDIA
179,TAN,TANZANIA
180,TOG,TOGO
181,TRT,TRINIDAD Y TOBAGO
182,TUN,TUNEZ
183,TUR,TURKS Y CAICOS
184,TUQ,TURQUIA
185,UCR,UCRANIA
186,UGA,UGANDA
187,VIE,VIETNAM
188,YEM,YEMEN
189,ZAI,ZAIRE
190,ZAM,ZAMBIA
191,ZIM,ZIMBABWE
192,ESL,ESLOVAQUIA
193,CUB,CUBA
194,S/D,Sin Datos
195,ALB,ALBANIA
196,AMS,SAMOA AMERICANA
197,AND,ANDORRA
198,ARM,ARMENIA
199,AZE,AZERBAIYAN
200,ESV,ESLOVENIA
201,GAB,GABON
202,KAZ,KAZAJISTAN
203,LIR,LIBERIA
204,MAE,MACEDONIA
205,MYA,MYANMAR (BIRMANIA)
206,POF,POLINESIA FRANCESA
207,REG,REPUBLICA DE GEORGIA
208,VAN,VANUALU
209,ALS,ALASKA
211,ATF,ANTILLAS FRANCESAS
212,TAT,TAHITI
213,LET,LETONIA
214,MOG,MONGOLIA
215,SER,SERBIA-MONTENEGRO
216,LIA,LIBIA
218,MI1,MICROCENTRO
219,MA1,MACROCENTRO
220,RCF,RESTO CAPITAL FEDERAL
221,GB1,GRAN BS.AS. 1
222,GB2,GRAN BS.AS. 2
223,MOL,MOLDOVA
224,COM,COMOROS
226,GEO,GEORGIA
227,GIB,GIBRALTAR
228,GRO,GROENLANDIA
230,GER,GUERNSEY
231,IDJ,ISLA DE JERSEY
235,ICS,ISLAS CANARIAS
236,IMV,ISLAS MALVINAS
237,ISN,ISLAS SALOMON
238,KIG,KIGUIZISTAN
239,KIR,KIRIBATI
240,LAO,LAOS
243,NEV,NEVIS
244,SEO,SAN EUSTAQUIO
245,TJI,TAJIKISTAN
246,TAZ,TAZMANIA
247,TON,TONGA
248,TUM,TURKMENISTAN 
249,TUV,TUVALU
250,UZB,UZBEKISTAN
251,YUG,YUGOSLAVIA
253,IR,IRAK 
254,MIA,MIAMI
255,VAR,STANDARD MAIL
265,JER,JERSEY
279,NIU,NIUE
280,NRU,REPUBLICA DE NAURU
281,CFA,REPÚBLICA DE ÁFRICA CENTRAL
282,XSA,SOMALILANDIA
283,TIM,TIMOR LESTE
284,YIB,YIBUTI
285,AFG,AFGANISTAN
290,CAT,CATE D'LVOIRE
291,GZA,GAZA
292,BRE,GRAN BRETAÑA
294,SLR,ISLA DE LA REUNION
295,SCB,ISLA CABO VERDE
296,COO,ISLA COOK
297,SMR,ISLAS MARIANAS DEL NORTE
298,SPA,ISLAS PALAOS
299,SYC,ISLAS SEYCHELLES
300,STU,ISLAS TUVALU
302,SWF,ISLAS WALLIS Y FUTUNA
303,KOS,KOSOVO
305,MRU,MAURU
306,MYT,MAYOTTE
307,MNT,MONTE NEGRO
308,SMO,SAMOA OCCIDENTAL
309,GYA,GUYANA
311,DCA,DOMINICA
313,KNO,COREA DEL NORTE
314,PLT,PALESTINA
315,SAH,SAHARA OCCIDENTAL
316,TAY,TAYIKISTAN
